club1,club2,dd,result,spectators,remark
rbc,utr,20051229,1-2, 4200,
hrv,ajx,20051230,4-2,21000,
rdj,grn,20051230,1-3, 9500,
hrc,vit,20051230,3-1, 8397,
wl2,hrc,20060111,1-2,12650,
nac,rkc,20060111,1-2,12874,
grn,hrv,20060113,2-0,20000,
hrc,az1,20060114,0-2, 8500,
nac,rdj,20060114,0-4,13498,
rkc,rbc,20060114,1-1, 5800,
spr,psv,20060115,0-1,10500,
vit,fyn,20060115,0-1,23200,
ajx,nec,20060115,1-1,46000,
adh,utr,20060115,2-3, 6002,
wl2,twn,20060115,1-1,11100,
az1,adh,20060118,3-1, 8349,
spr,nec,20060118,1-3, 7239,
psv,rkc,20060120,2-0,32500,
az1,grn,20060121,1-1, 8476,
hrv,spr,20060121,0-0,20600,
vit,wl2,20060121,2-1,18900,
rbc,hrc,20060121,1-2, 4900,
fyn,rdj,20060122,0-0,39000,
twn,ajx,20060122,2-3,13250,
utr,nac,20060122,2-2,18660,
nec,adh,20060122,5-0,11750,
rdj,az1,20060127,1-4,11000,
rbc,hrv,20060128,0-2, 4000,
spr,twn,20060128,1-0, 8018,
wl2,nec,20060128,2-2,11800,
adh,psv,20060129,0-2, 6341,
ajx,utr,20060129,1-4,45000,
grn,nac,20060129,3-2,19100,
rkc,vit,20060129,0-1, 5800,
hrc,fyn,20060129,0-4, 8500,
wl2,rbc,20060203,3-1,13500,
psv,rdj,20060204,3-2,33100,
nac,spr,20060204,0-0,15320,
az1,vit,20060204,1-1, 8426,
grn,hrc,20060204,0-0,19600,
fyn,ajx,20060205,3-2,45000,
twn,utr,20060205,3-0,13100,
hrv,adh,20060205,3-0,20500,
rkc,nec,20060205,1-3, 4200,
rbc,az1,20060207,0-5, 5000,
spr,grn,20060207,1-0, 7225,
nec,fyn,20060208,1-2,12000,
utr,psv,20060208,1-2,19615,
hrc,hrv,20060208,1-1, 8500,
adh,nac,20060208,0-3, 5500,
vit,twn,20060208,1-2,18286,
rdj,rkc,20060208,1-0,11000,
ajx,wl2,20060208,1-0,37000,
spr,az1,20060210,0-1,10348,
psv,hrc,20060211,1-0,32900,
hrv,vit,20060211,4-1,20700,
twn,rdj,20060211,1-0,13200,
rkc,wl2,20060211,1-0, 5800,
nac,fyn,20060212,3-3,16385,
adh,ajx,20060212,1-2, 9133,zonder Ajax-supporters.
utr,nec,20060212,1-1,17500,
rbc,grn,20060212,1-2, 3500,
vit,psv,20060217,1-3,19845,
nec,twn,20060217,0-3,12000,
rdj,hrv,20060218,2-1,13400,
grn,rkc,20060218,1-0,19100,
az1,utr,20060219,2-3, 8474,
fyn,spr,20060219,4-0,44000, # met campagneteam gezien!
ajx,rbc,20060219,6-0,46383,
hrc,adh,20060219,1-3, 8173,
wl2,nac,20060219,2-0,12500,
rkc,twn,20060224,0-0, 5200,
rbc,nec,20060224,2-0, 3500,
spr,wl2,20060225,3-2, 9956,
adh,vit,20060225,2-0, 5033,
az1,psv,20060226,1-2, 8578,
grn,fyn,20060226,1-1,19884,
hrv,nac,20060226,2-1,20500,
hrc,ajx,20060226,1-3, 8500,
utr,rdj,20060226,2-1,18402,
nec,az1,20060303,0-2,11000,
psv,hrv,20060304,4-1,33400,
wl2,grn,20060304,5-0,12100,
nac,rbc,20060304,2-1,14531,
vit,rdj,20060304,1-3,19226,
fyn,utr,20060305,3-0,40000,
ajx,spr,20060305,6-0,47476,
twn,hrc,20060305,2-0,13250,
rkc,adh,20060305,3-0, 5216,
twn,nac,20060310,1-0,13200,
adh,grn,20060311,2-1, 6546,
rdj,spr,20060311,1-1,12700,
ajx,psv,20060311,0-0,48741,
nec,hrc,20060311,2-0,11800,
utr,hrv,20060312,2-0,20000,
wl2,az1,20060312,1-3,12200,
fyn,rkc,20060312,1-1,44000,
vit,rbc,20060312,5-1,19725,
nac,vit,20060317,2-2,14890,
psv,nec,20060318,1-0,33000,
hrv,rkc,20060318,2-1,20800,
adh,rdj,20060318,1-1, 6512,
hrc,wl2,20060318,1-0, 8500,
az1,fyn,20060319,1-0, 8845,
grn,ajx,20060319,3-2,19814,
spr,utr,20060319,0-1,10500,
rbc,twn,20060319,1-1, 4700,
vit,spr,20060324,3-1,19500,
twn,hrv,20060325,1-2,13225,
nec,grn,20060325,2-2,12000,
rdj,rbc,20060325,5-1,12000,
wl2,psv,20060325,0-3,14100,
ajx,nac,20060326,1-1,47700,
utr,hrc,20060326,1-0,19450,
fyn,adh,20060326,0-2,41000,
rkc,az1,20060326,0-1, 6035,
utr,rkc,20060331,3-1,19000,
rbc,psv,20060401,1-2, 5000,
adh,wl2,20060401,1-1, 9018,
nec,hrv,20060401,4-1,11500,
hrc,spr,20060401,1-0, 8500,
rdj,ajx,20060402,2-1,17000,
fyn,twn,20060402,4-2,37500,
grn,vit,20060402,2-1,19018,
az1,nac,20060404,3-2, 8429,
hrv,fyn,20060407,1-1,20000,
nac,nec,20060408,2-1,15650,
spr,rbc,20060408,5-0, 9808,
rkc,hrc,20060408,0-2, 6069,
psv,grn,20060409,1-1,33500,
ajx,az1,20060409,1-0,50150,
wl2,rdj,20060409,2-2,12450,
vit,utr,20060409,1-0,19480,
twn,adh,20060409,2-0,13000, # eerst vergeten
psv,fyn,20060412,1-1,34300,
az1,twn,20060412,0-0, 8363,
ajx,vit,20060412,2-1,45000,
grn,utr,20060412,2-1,20500,
nec,rdj,20060412,0-3,12500,
spr,rkc,20060412,3-2, 9707,
wl2,hrv,20060412,4-3,12450,
rbc,adh,20060412,1-2, 3500,
hrc,nac,20060412,4-2, 8500,
nac,psv,20060417,2-6,14950,
hrv,az1,20060417,2-4,20800,
fyn,rbc,20060417,2-0,42000,
rkc,ajx,20060417,2-4, 7400,
twn,grn,20060417,1-1,13000,
utr,wl2,20060417,1-4,22500,
vit,nec,20060417,1-1,21250,
rdj,hrc,20060417,2-1,15500,
adh,spr,20060417,0-2,10015,
