club1,club2,dd,result,spectators
hrc,az1,20111030,0-1, 8500
vvv,exc,20111104,0-0, 7480
nac,vit,20111105,1-0,18000
rdj,hrv,20111105,1-2,12890
rkc,grn,20111105,1-1, 6272
fyn,nec,20111105,0-1,44000
utr,ajx,20111106,6-4,20000
twn,grf,20111106,4-0,29500
az1,adh,20111106,3-0,16222
psv,hrc,20111106,4-1,32900
grf,psv,20111119,1-3,12505
hrc,twn,20111119,1-1, 8500
nec,rdj,20111119,1-2,12200
hrv,rkc,20111119,1-1,25000
ajx,nac,20111119,2-2,49531
vit,fyn,20111120,0-4,19039
adh,utr,20111120,2-2,11350
grn,vvv,20111120,2-1,21622
exc,az1,20111120,0-0, 3500
az1,utr,20111125,2-0,16611
nac,hrv,20111126,2-2,18000
rdj,hrc,20111126,3-1,12846
vvv,grf,20111126,1-2, 7600
psv,grn,20111126,6-1,33200
rkc,fyn,20111127,1-2, 7400
exc,adh,20111127,1-1, 3156
nec,ajx,20111127,0-3,12100
twn,vit,20111127,0-0,29800
hrc,vvv,20111202,7-0, 8364
grn,nec,20111203,3-3,22337
adh,nac,20111203,3-0,11884
grf,rdj,20111203,1-2,11627
ajx,exc,20111203,4-1,47497
fyn,psv,20111204,2-0,46000
utr,twn,20111204,2-6,20000
vit,rkc,20111204,4-0,15067
hrv,az1,20111204,5-1,25000
adh,hrc,20111209,2-0,10500
twn,nec,20111210,2-0,29500
az1,grf,20111210,4-0,16198
exc,hrv,20111210,0-5, 3456
psv,nac,20111210,1-0,33000
vvv,rdj,20111211,2-0, 7650
rkc,ajx,20111211,0-1, 7508
utr,fyn,20111211,2-2,22000
vit,grn,20111211,0-0,16408
grf,rkc,20111216,1-3,11722
hrc,vit,20111217,0-1, 8467
rdj,exc,20111217,7-0,13834
nec,vvv,20111217,2-0,12000
grn,utr,20111217,1-0,22020
ajx,adh,20111218,4-0,46854
fyn,twn,20111218,3-2,44000
nac,az1,20111218,2-1,17720
hrv,psv,20111218,1-5,26100
adh,rdj,20120120,3-3,14003
grf,hrv,20120121,0-2,12202
exc,nac,20120121,3-0, 3256
twn,rkc,20120121,5-0,29324
vit,nec,20120122,0-1,19381
az1,ajx,20120122,1-1,16761
grn,hrc,20120122,2-1,22084
vvv,fyn,20120122,2-1, 8000
utr,psv,20120122,1-1,20347
psv,vit,20120127,3-1,34000
hrv,utr,20120128,2-0,25000
nac,grf,20120128,1-1,17850
hrc,exc,20120128,3-0, 8400
rdj,az1,20120128,2-0,14655
fyn,ajx,20120129,4-2,48000
twn,grn,20120129,4-1,29900
rkc,vvv,20120129,4-0, 6371
nec,adh,20120129,2-0,12300
hrv,rdj,20120203,4-3,23000
exc,vvv,20120204,3-1, 2945
vit,nac,20120204,1-0,15672
ajx,utr,20120205,0-2,45880
hrc,psv,20120205,1-1, 8500
nec,fyn,20120205,0-2,11687
grn,rkc,20120205,0-3,21644
adh,az1,20120208,0-6, 8756
twn,hrc,20120210,2-3,29500
az1,exc,20120211,2-0,15964
rdj,nec,20120211,1-0,12088
vvv,grn,20120211,2-0, 7211
nac,ajx,20120211,0-2,17000
utr,adh,20120212,1-1,18700
psv,grf,20120212,4-1,33100
rkc,hrv,20120212,0-1, 6020
fyn,vit,20120212,3-1,43000
hrv,nac,20120217,1-0,25800
fyn,rkc,20120218,1-1,44500
adh,exc,20120218,1-1,10144
grf,vvv,20120218,1-4,11566
hrc,rdj,20120218,2-1, 8431
grn,psv,20120219,3-0,22334
ajx,nec,20120219,4-1,47611
utr,az1,20120219,3-0,19500
vit,twn,20120219,1-4,16852
rkc,vit,20120224,1-0, 6000
nac,adh,20120225,4-0,17750
rdj,grf,20120225,0-2,13358
vvv,hrc,20120225,3-1, 7500
nec,grn,20120225,4-0,11853
exc,ajx,20120226,1-4, 3550
psv,fyn,20120226,3-2,35000
twn,utr,20120226,1-0,29700
az1,hrv,20120226,3-3,16763
adh,hrv,20120303,0-0,12079
rkc,exc,20120303,1-0, 6686
vvv,nac,20120303,2-1, 7850
az1,hrc,20120303,3-1,16078
vit,grf,20120304,2-0,16757
ajx,rdj,20120304,4-1,50939
fyn,grn,20120304,1-0,43000
utr,nec,20120304,0-0,20000
psv,twn,20120304,2-6,33000
rdj,vvv,20120309,3-1,16333
grn,vit,20120310,1-3,22102
hrc,adh,20120310,0-2, 8402
hrv,exc,20120310,4-2,25000
nac,psv,20120311,3-1,18750
nec,twn,20120311,3-1,12000
ajx,rkc,20120311,3-0,51353
fyn,utr,20120311,1-1,46000
grf,az1,20120311,0-2,12145
vit,hrc,20120316,2-0,17155
rkc,grf,20120317,1-0, 6417
exc,rdj,20120317,2-1, 3531
vvv,nec,20120317,0-2, 7500
adh,ajx,20120318,0-2,12000
psv,hrv,20120318,5-1,33200
twn,fyn,20120318,0-2,30000
utr,grn,20120318,3-1,21000
az1,nac,20120318,0-0,16268
grf,twn,20120321,1-2,12501
exc,grn,20120323,0-1, 3461
rdj,vit,20120324,3-1,15340
nac,nec,20120324,1-1,17500
hrv,vvv,20120324,4-1,25500
adh,twn,20120324,1-1,12000
az1,rkc,20120325,1-0,16368
hrc,utr,20120325,3-1, 8472
grf,fyn,20120325,0-3,12600
ajx,psv,20120325,2-0,51207
utr,exc,20120330,3-2,18700
grn,hrv,20120331,1-3,22423
twn,rdj,20120331,2-0,29750
psv,vvv,20120331,2-0,34000
fyn,nac,20120331,3-1,48000
nec,grf,20120401,2-0,12401
ajx,hrc,20120401,6-0,51395
rkc,adh,20120401,1-0, 6000
vit,az1,20120401,2-2,22174
exc,nec,20120410,0-2, 3418
az1,twn,20120411,2-2,16801
nac,hrc,20120411,1-2,17000
rdj,fyn,20120411,0-0,17029
rkc,psv,20120411,2-1, 6000
hrv,ajx,20120411,0-5,26100
grf,utr,20120412,3-0,11730
vvv,vit,20120412,1-3, 7500
adh,grn,20120412,3-0,10134
psv,az1,20120414,3-2,34200
nec,hrv,20120414,2-4,12433
fyn,exc,20120414,3-0,48000
twn,nac,20120414,2-2,29750
grn,rdj,20120415,0-1,21931
ajx,grf,20120415,3-1,52107
vit,adh,20120415,1-0,15261
utr,vvv,20120415,4-2,19000
hrc,rkc,20120415,1-1, 8490
nac,rdj,20120420,0-3,18300
hrv,vit,20120421,1-1,25000
grf,hrc,20120421,2-3,12043
rkc,utr,20120421,0-2, 7091
exc,twn,20120421,0-1, 3000
adh,fyn,20120422,1-2,13248
psv,nec,20120422,2-1,33000
az1,vvv,20120422,2-1,16459
ajx,grn,20120422,2-0,51405
grn,grf,20120427,1-1,21000
hrc,hrv,20120428,2-4, 8475
utr,nac,20120428,1-3,19000
vit,exc,20120428,3-2,28278
vvv,adh,20120428,2-1, 7500
rdj,psv,20120429,1-3,17106
twn,ajx,20120429,1-2,30000
fyn,az1,20120429,1-0,48000
nec,rkc,20120429,1-1,12480
twn,hrv,20120502,3-4,29800
ajx,vvv,20120502,2-0,51985
psv,adh,20120502,5-0,33000
fyn,hrc,20120502,4-1,51777
grn,nac,20120502,1-1,21000
nec,az1,20120502,1-1,12498
utr,vit,20120502,2-2,19000
rkc,rdj,20120502,5-2, 6000
grf,exc,20120502,2-2,12305
vit,ajx,20120506,1-3,23549
vvv,twn,20120506,4-2, 7500
exc,psv,20120506,1-3, 3514
az1,grn,20120506,1-0,16800
hrv,fyn,20120506,2-3,26100
rdj,utr,20120506,1-3,14651
adh,grf,20120506,3-5,14273
hrc,nec,20120506,1-2, 8481
nac,rkc,20120506,3-2,18200
