club1,club2,dd,result,spectators,remark
rkc,rdj,20090926,4-1, 6000,
twn,vvv,20090926,2-1,23700,
ajx,adh,20090927,3-0,44190,
grn,vit,20090927,1-0,21942,
nac,fyn,20090927,0-2,17750,
spr,hrv,20090927,0-2,10057,
nec,hrc,20090927,0-2,12500,
nec,utr,20090930,1-1,12400,
vit,spr,20091002,2-0,15350,
adh,grn,20091003,1-1, 9000,
wl2,nec,20091003,1-1,12000,
az1,nac,20091003,1-0,16331,
fyn,rkc,20091003,3-0,45000,
rdj,ajx,20091004,2-2,17500,
hrv,vvv,20091004,1-1,25850,
utr,psv,20091004,0-0,23000,
hrc,twn,20091004,1-3, 8500,
ajx,wl2,20091017,4-0,49900,
nac,vit,20091017,4-0,17650,
twn,az1,20091017,3-2,23800,
psv,hrv,20091017,1-0,33000,
vvv,rdj,20091018,1-1, 7500,
grn,utr,20091018,0-0,21724,
nec,adh,20091018,1-1,12500,
rkc,hrc,20091018,0-1, 7385,
spr,fyn,20091018,2-1,10894,
utr,rdj,20091023,2-1,20000,
adh,spr,20091024,2-3,14390,
fyn,vvv,20091024,1-0,44000,
vit,hrc,20091024,0-2,15915,
nac,rkc,20091024,1-0,17750,
twn,grn,20091025,4-0,23800,
wl2,hrv,20091025,4-1,12500,
az1,ajx,20091025,2-4,16867,
nec,psv,20091025,0-4,12500,
vvv,nac,20091030,1-1, 7500,
hrv,adh,20091031,3-0,25500,
psv,vit,20091031,1-0,33000,
rdj,twn,20091031,1-2,14905,
grn,az1,20091031,0-1,22216,
ajx,fyn,20091101,5-1,51028,
rkc,wl2,20091101,0-1, 7000,
spr,nec,20091101,2-0,10058,
hrc,utr,20091101,3-1, 8450,
grn,hrc,20091106,4-1,22117,
vit,vvv,20091107,2-0,18615,
spr,rdj,20091107,1-2,10107,
nec,rkc,20091107,0-1,12000,
nac,wl2,20091108,4-0,17750,
utr,hrv,20091108,2-3,21200,
az1,fyn,20091108,1-1,16712,
adh,psv,20091108,1-5,12000,"4x Toivonen, waaronder een echte hattrick"
twn,ajx,20091108,1-0,24000,
rdj,az1,20091121,2-4,16400,
nac,nec,20091121,3-3,17750,
rkc,grn,20091121,3-1, 6850,
twn,vit,20091121,1-0,23500,
fyn,utr,20091122,0-0,44500,
ajx,hrv,20091122,5-1,49598,
wl2,adh,20091122,1-1,12000,
vvv,spr,20091122,5-0, 7500,
psv,hrc,20091122,4-0,33000,
spr,psv,20091127,2-3,10800,
az1,vvv,20091128,2-0,16347,
hrv,rkc,20091128,3-1,25500,
hrc,rdj,20091128,3-2, 8500,
wl2,twn,20091128,1-3,12100,
vit,ajx,20091129,1-5,21850,
adh,fyn,20091129,0-2,13800,
grn,nec,20091129,2-2,21721,
utr,nac,20091129,3-1,20000,
nac,spr,20091204,2-2,17750,
rdj,adh,20091204,1-1,14100,
az1,vit,20091204,1-2,16264,Voor Ronald Koeman zit het niet mee;<br>Hij krijgt op 5 december slechts zijn cong&eacute;
vvv,wl2,20091204,2-1, 7500,
utr,ajx,20091206,2-0,23500,
fyn,grn,20091206,3-1,42500,
rkc,psv,20091206,0-2, 7000,
nec,twn,20091206,3-4,12500,
hrc,hrv,20091206,3-1, 8488,
ajx,nec,20091211,3-0,47297,
psv,az1,20091212,1-0,34000,
twn,nac,20091212,3-1,23500,
hrv,fyn,20091212,0-2,26100,
vvv,rkc,20091212,3-0, 7500,
spr,grn,20091213,2-4, 9725,
adh,hrc,20091213,1-4,10000,
vit,utr,20091213,2-2,16280,
wl2,rdj,20091213,1-3,12500,
hrc,vvv,20091218,1-0, 8420,
az1,adh,20091219,3-0,16072,
fyn,wl2,20091219,1-0,42000,
rkc,spr,20091219,4-1, 5145,
nec,vit,20100117,2-1,12500,
nac,ajx,20100117,1-1,17750,
utr,twn,20100117,0-0,23500,
rdj,psv,20100119,0-1,16400,
grn,hrv,20100120,2-0,22400,
psv,nec,20100122,3-0,32800,
hrc,vit,20100123,1-2, 8500,
hrv,wl2,20100123,4-2,25500,
rdj,utr,20100123,2-0,13580,
rkc,nac,20100123,0-1, 7171,
ajx,az1,20100124,1-0,47770,
grn,twn,20100124,0-0,22500,
spr,adh,20100124,0-0,10122,
vvv,fyn,20100124,1-1, 7500,
wl2,rkc,20100129,2-1,13500,
nec,spr,20100130,1-0,12500,
nac,vvv,20100130,2-0,17750,
az1,grn,20100130,0-1,16472,
adh,hrv,20100130,2-1,10759,
fyn,ajx,20100131,1-1,47000,
twn,rdj,20100131,2-0,24000,
utr,hrc,20100131,0-0,20000,
vit,psv,20100131,0-0,18600,
nac,az1,20100202,1-1,17750,
vvv,hrv,20100202,3-1, 7420,
grn,adh,20100203,2-0,21289,
psv,utr,20100203,2-1,33100,
twn,hrc,20100203,2-0,24000,
ajx,rdj,20100203,4-0,46556,Luis Suarez krijgt het weer op zijn heupen: hij scoort in de 2e helft 4x
spr,vit,20100203,1-1, 9213,
rkc,fyn,20100204,0-1, 7000,
wl2,nac,20100205,1-2,13750,
psv,adh,20100206,2-0,32900,
hrv,utr,20100206,2-0,25500,
rdj,spr,20100206,2-1,13500,
hrc,grn,20100206,4-3, 8412,"2x rood voor Groningen, waardoor 1-3 voorsprong wordt weggegeven"
fyn,az1,20100207,1-2,47500,
rkc,nec,20100207,0-1, 6550,
vvv,vit,20100207,2-0, 7500,
ajx,twn,20100207,3-0,49184,
nec,nac,20100212,4-2,12200,
vit,twn,20100213,1-2,18442,
hrv,ajx,20100213,0-2,26000,
adh,wl2,20100213,3-0,10009,
az1,rdj,20100213,2-0,16419,
utr,fyn,20100214,0-0,22350,
grn,rkc,20100214,2-1,21246,
spr,vvv,20100214,2-0,10012,
hrc,psv,20100214,0-1, 8455,
nec,wl2,20100217,2-1,12250,
rdj,hrc,20100219,2-1,13195,
nac,utr,20100220,0-2,17750,
rkc,hrv,20100220,1-2, 6940,
vvv,az1,20100220,3-3, 7500,
nec,grn,20100220,0-2,12200,
fyn,adh,20100221,2-2,42000,
ajx,vit,20100221,4-0,47726,
psv,spr,20100221,1-1,33000,
twn,wl2,20100221,1-0,23500,
adh,rdj,20100226,1-2,11898,
hrv,hrc,20100227,1-2,25600,
vit,az1,20100227,0-3,17555,
wl2,vvv,20100227,2-1,13100,
ajx,utr,20100228,4-0,45113,
grn,fyn,20100228,2-3,21959,
psv,rkc,20100228,5-1,33900,
spr,nac,20100228,2-2,10216,
twn,nec,20100228,2-1,23500,
az1,hrv,20100306,4-1,16427,
hrc,wl2,20100306,3-2, 8500,
adh,vit,20100306,1-1,10132,
nac,psv,20100306,2-1,17750,
rdj,fyn,20100307,2-4,17300,
spr,ajx,20100307,0-3,10650,
grn,vvv,20100307,1-0,21000,
rkc,twn,20100307,0-1, 7100,
utr,nec,20100307,1-0,20000,
twn,adh,20100312,3-1,23500,
nac,grn,20100313,0-3,17750,
az1,rkc,20100313,6-2,16563,
vvv,utr,20100313,0-1, 7500,
nec,rdj,20100313,0-2,12350,
fyn,hrc,20100314,1-1,46500,
vit,hrv,20100314,0-1,17720,
wl2,spr,20100314,3-1,13100,
ajx,psv,20100314,4-1,50984,
hrv,nec,20100319,4-1,25500,
wl2,utr,20100320,0-3,13200,
psv,twn,20100320,1-1,34500,
hrc,nac,20100320,3-0, 8500,
rkc,ajx,20100321,1-5, 7500,
grn,rdj,20100321,1-0,21754,
spr,az1,20100321,0-1,10605,
adh,vvv,20100321,0-0,12584,
nac,adh,20100326,3-0,17750,
vit,wl2,20100327,2-1,16446,
rdj,hrv,20100327,4-2,14900,
az1,hrc,20100327,3-2,16604,
twn,spr,20100327,3-0,23800,Ruiz scoort aan het begin van de 2e helft binnen 5 minuten een hattrick
nec,fyn,20100328,0-0,12500,
ajx,grn,20100328,3-0,51669,
utr,rkc,20100328,2-0,20000,
vvv,psv,20100328,2-4, 7500,
fyn,vit,20100331,2-1,45000,restant van op 20 maart gestaakte wedstrijd (wegens overvloedige regenval)
vvv,twn,20100403,0-2, 7500,
rdj,rkc,20100403,5-1,15100,
vit,grn,20100403,3-0,15950,
az1,utr,20100403,2-0,16881,
hrv,spr,20100403,4-1,25800,
fyn,nac,20100404,0-0,38000,
adh,ajx,20100404,0-1,13921,
wl2,psv,20100404,0-1,13500,
hrc,nec,20100404,2-0, 8450,
rkc,vit,20100409,4-1, 7100,
twn,hrv,20100410,2-0,26000,
nac,rdj,20100410,1-0,17100,
nec,az1,20100410,0-0,12400,
spr,hrc,20100410,1-1,10399,
psv,fyn,20100411,0-0,34400,
utr,adh,20100411,0-2,21300,
ajx,vvv,20100411,7-0,51677,
grn,wl2,20100411,4-0,21500,
vit,nac,20100413,1-1,14400,
az1,twn,20100413,1-0,17250,
hrc,rkc,20100413,4-1, 8412,
rdj,vvv,20100414,4-2,16600,
wl2,ajx,20100414,0-2,14500,
fyn,spr,20100414,3-0,43000,
hrv,psv,20100414,2-2,26000,
utr,grn,20100414,1-1,20000,
adh,nec,20100414,2-3,12000,
ajx,hrc,20100418,4-0,51554,
hrv,nac,20100418,0-0,25500,
psv,grn,20100418,3-1,34100,
spr,utr,20100418,0-3,10699,
twn,fyn,20100418,2-0,24000,
vit,rdj,20100418,2-5,17000,
wl2,az1,20100418,0-3,13100,
vvv,nec,20100418,2-0, 7500,
adh,rkc,20100418,4-0,13248,
fyn,hrv,20100502,6-2,38000,
grn,spr,20100502,3-1,22351,
nac,twn,20100502,0-2,17750,
nec,ajx,20100502,1-4,12500,
rkc,vvv,20100502,1-2, 3780,
rdj,wl2,20100502,3-2,16185,
utr,vit,20100502,2-2,21296,
az1,psv,20100502,1-1,16697,
hrc,adh,20100502,4-2, 8356,
