club1,club2,dd,result,spectators,remark
rkc,twn,20001001,1-1, 4850,
grf,fyn,20001001,2-3,10000,
hrv,ajx,20001002,2-2,14000,
az1,nac,20001013,3-1, 6762,
twn,fst,20001014,1-1,12900,
wl2,utr,20001014,6-2,13800,
hrv,rkc,20001014,1-1,14200,
psv,nec,20001014,0-0,30000,
rdj,grn,20001014,2-0,13000,
vit,ajx,20001015,3-2,27500,
rbc,grf,20001015,2-4, 5371,
spr,fyn,20001015,1-4,11000,
ajx,rdj,20001020,4-2,35000,
grf,wl2,20001021,1-1, 9750,
twn,spr,20001021,3-1,13200,
fyn,hrv,20001021,2-0,45000,
grn,fst,20001022,4-0,10800,
az1,vit,20001022,0-2, 6825,
utr,rbc,20001022,5-3,13800,
az1,twn,20001027,5-0, 6410,
fst,nac,20001027,1-2, 8400,
hrv,grf,20001028,1-0,14100,
psv,ajx,20001029,1-1,33500,
spr,grn,20001029,2-0, 6108,
nec,wl2,20001029,3-0, 9000,
utr,fyn,20001029,1-1,13400,
rdj,rkc,20001029,0-1,12000,
psv,vit,20001101,2-0,32000,
rdj,fst,20001101,1-0,12300,
hrv,spr,20001101,1-1,14000,
rkc,utr,20001101,4-1, 5500,
nec,grf,20001101,2-1,10000,
fyn,rbc,20001102,5-1,24500,
nac,nec,20001104,2-2,14150,
twn,psv,20001104,0-2,13250,
fyn,rdj,20001105,4-2,35000,
grn,az1,20001105,1-2,12600,
rbc,fst,20001105,3-1, 5000,
grf,vit,20001105,1-2,10200,
utr,spr,20001105,1-1,14000,
wl2,ajx,20001105,0-1,14700,
rbc,wl2,20001110,2-1, 5000,
fst,rkc,20001111,0-0, 7500,
psv,fyn,20001112,1-0,33000,
twn,nac,20001112,4-0,13225, # missing/middeling
vit,grn,20001112,2-2,25500,
spr,nec,20001112,0-2, 8462,
rdj,hrv,20001112,3-1,12000,
az1,utr,20001112,2-1, 6634,
ajx,grf,20001112,4-1,25000,
rdj,utr,20001117,2-1,12500,
wl2,twn,20001118,2-2,13200,
fst,az1,20001118,1-1, 7500,
hrv,psv,20001118,1-4,14300,
vit,rbc,20001118,2-1,25800,
nac,ajx,20001119,0-3,15882,
rkc,grf,20001119,1-0, 5620,
nec,fyn,20001119,1-3,12500,
rbc,rdj,20001125,0-4, 5000,
grf,fst,20001125,5-1, 9500,
az1,spr,20001125,1-1, 7123,
fyn,wl2,20001126,1-0,31000,
twn,grn,20001126,3-0,13200,
psv,nac,20001126,2-1,31000,
nec,hrv,20001126,0-0,10000,
utr,ajx,20001126,2-1,14200,
rdj,vit,20001128,2-3,14000,
hrv,az1,20001129,1-1,14300,
rbc,nac,20001129,0-1, 5000,
fyn,spr,20001129,2-1,31500,
ajx,rkc,20001130,3-0,30543,
rdj,psv,20001201,1-2,14500,
wl2,az1,20001202,1-1,13100,
fst,utr,20001202,0-1, 7700,
spr,grf,20001202,2-1, 7602,
nec,twn,20001203,1-0, 9500,
ajx,hrv,20001203,6-2,38250,
rkc,grn,20001203,0-0, 5500,
fyn,nac,20010128,2-0,33000,
grf,grn,20001209,0-4,11000,
fst,spr,20001209,2-1, 6500,
rdj,wl2,20001209,0-1,11500,
az1,nec,20001209,0-0, 6695,
fyn,ajx,20001210,3-1,46000,
vit,hrv,20001210,0-0,26500,
utr,nac,20001210,5-0,13500,
twn,rdj,20001212,0-2,13200,
rkc,psv,20001212,1-1, 6100,
fst,fyn,20001213,2-4, 9500,
hrv,wl2,20001213,0-1,14200,
spr,nac,20001213,1-2, 7482,
vit,az1,20001213,3-2,24500,
wl2,fst,20001216,3-1,13200,
nac,vit,20001216,1-1,13269,
az1,psv,20001217,0-5, 7940,
grn,fyn,20001217,1-0,13000,
grf,utr,20001217,0-3, 9700,
rkc,spr,20001217,2-0, 5200,
nec,rdj,20001217,0-2,11000,
rbc,hrv,20001217,0-3, 5000,
ajx,twn,20001217,5-1,36123,
utr,rkc,20001220,2-1,13000,
fyn,vit,20001220,2-0,40000,
wl2,nec,20001220,2-0,13000,
grn,hrv,20001221,2-1,13000,
rbc,twn,20001221,2-2, 4500,
psv,fst,20001221,1-1,31000,
psv,rbc,20010127,6-0,31000,
fst,rdj,20010131,1-0, 8200,
hrv,fyn,20010131,1-0,14400,
nec,rbc,20010131,2-3, 7500,
psv,grn,20010131,3-0,31000,
vit,nac,20010131,2-4,25250,
wl2,spr,20010131,4-1,13500,
grf,ajx,20010201,1-3,11000,
rbc,rkc,20010203,0-3, 5000,
twn,wl2,20010203,3-1,13000,
vit,nec,20010204,2-2,25500,
az1,fyn,20010204,0-3, 8275,
fst,grf,20010204,0-0, 6800,
spr,psv,20010204,0-1, 7592,
grf,spr,20010209,2-1,11000,
psv,az1,20010210,3-0,31000,
utr,nec,20010211,1-1,13800,
rkc,vit,20010211,3-0, 6200,
rdj,rbc,20010211,2-1,12000,
ajx,wl2,20010211,1-1,36678,
fyn,grn,20010211,1-0,41291,
nac,twn,20010221,0-0,12687,
fst,ajx,20010216,0-3,12500,
rbc,az1,20010217,2-3, 5100,
hrv,rdj,20010217,0-0,14200,
utr,grf,20010218,3-1,13800,
spr,rkc,20010218,2-2, 7459,
grn,twn,20010218,2-0,11095,
nac,psv,20010218,1-2,13000,
wl2,hrv,20010223,1-6,13900,
nec,spr,20010223,0-3, 9000,
twn,vit,20010224,2-1,13250,
rkc,fst,20010224,1-0, 4500,
az1,rdj,20010224,2-4, 7112,
fyn,psv,20010225,1-2,45000,
ajx,utr,20010225,2-0,32864,
grn,nac,20010225,0-0, 9000,
rkc,nac,20010302,0-0, 5300,
hrv,grn,20010302,0-0,13500,
psv,rdj,20010303,0-0,33500,
wl2,grf,20010303,6-0,13000,
spr,twn,20010304,5-1, 8882,
utr,fst,20010304,1-0,13000,
nec,az1,20010304,1-1, 9500,
vit,fyn,20010304,0-0,28323,
rbc,ajx,20010304,1-3, 5000,
rdj,nac,20010309,1-0,12500,
grf,hrv,20010309,0-1,10650,
fst,rbc,20010310,2-1,11000,
twn,nec,20010310,1-1,13500,
az1,rkc,20010310,1-3, 7150,
wl2,fyn,20010311,3-1,14300,
utr,vit,20010311,0-0,13500,
grn,ajx,20010311,3-3,13000,
rbc,vit,20010316,0-3, 5000,
nac,hrv,20010317,2-2,13046,
rdj,grf,20010317,3-1,12000,
az1,fst,20010317,0-2, 6875,
ajx,spr,20010318,9-0,38987,
rkc,wl2,20010318,3-2, 6200,
nec,grn,20010318,1-0,10000,
psv,utr,20010318,5-1,31001,
fyn,twn,20010318,5-1,38354,
az1,grf,20010331,0-1, 7102,
hrv,rbc,20010331,2-0,14400,
nac,fst,20010331,1-0,13170,
psv,twn,20010331,2-1,31000,
wl2,rdj,20010331,1-1,14300,
grn,vit,20010401,0-1,12500,
nec,ajx,20010401,1-0,12500,
rkc,fyn,20010401,2-0, 6200,
spr,utr,20010401,0-1,10500,
utr,az1,20010406,1-0,13800,
grf,rbc,20010407,2-2,10750,
hrv,nec,20010407,5-0,14300,
twn,rkc,20010407,1-1,13200,
vit,wl2,20010407,1-2,27500,
ajx,psv,20010408,0-1,45100,
spr,fst,20010408,0-2, 7895,
grn,rdj,20010408,1-3,11700,
nac,fyn,20010408,1-0,14817,
fst,nec,20010413,2-0, 7000,
rbc,spr,20010414,1-3, 5000,
rkc,hrv,20010414,1-1, 6200,
az1,grn,20010414,2-0, 7075,
fyn,grf,20010415,1-2,41270,
vit,psv,20010415,0-0,28000,
wl2,nac,20010416,1-3,14100,
twn,utr,20010416,0-0,13500,
rdj,ajx,20010416,1-1,19000,
utr,wl2,20010420,1-0,13200,
psv,rkc,20010420,3-1,31500,
rdj,spr,20010421,1-0,13000,
grf,twn,20010421,4-0,10850,
grn,rbc,20010421,2-0,12164,
hrv,fst,20010421,6-1,14200,
fyn,nec,20010421,3-0,40154,
nac,az1,20010421,0-0,12374,
ajx,vit,20010517,1-2,35667,
ajx,nac,20010427,1-0,32800,
twn,az1,20010428,1-0,13100,
fst,grn,20010428,1-1, 8000,
wl2,psv,20010428,1-1,14657,
vit,grf,20010428,2-1,23560,
spr,hrv,20010428,1-3, 8419,
rbc,utr,20010429,1-2, 5000,
nec,rkc,20010429,5-1,10000,
rdj,fyn,20010429,1-0,15800,
hrv,utr,20010502,1-2,14400,
rkc,ajx,20010503,2-2, 6000,
twn,rbc,20010505,4-1,13000,
vit,rdj,20010505,1-1,27700,
az1,wl2,20010505,2-3, 7483,
psv,hrv,20010506,3-0,31000,
grn,spr,20010506,1-1,11200,
grf,nec,20010506,2-1,10500,
nac,utr,20010506,0-0,12227,
fyn,fst,20010506,2-3,38000,
rbc,psv,20010511,1-2, 5000,
fst,twn,20010511,0-2, 7700,
grf,rkc,20010512,0-1,10700,
hrv,vit,20010512,0-0,14350,
wl2,grn,20010512,3-0,13700,
ajx,fyn,20010513,3-4,52200,
utr,rdj,20010513,3-0,13500,
nec,nac,20010513,0-2, 9000,
spr,az1,20010513,0-3, 5759,
nac,spr,20010520,2-0,11357,
twn,ajx,20010520,1-3,13300,
rdj,nec,20010520,4-1,15000,
az1,hrv,20010520,2-2, 7351,
wl2,rbc,20010520,3-0,13800,
vit,fst,20010520,3-0,27500,
psv,grf,20010520,3-2,31000,
fyn,utr,20010520,2-2,43285,
grn,rkc,20010520,1-2,12583,
hrv,twn,20010527,1-1,14150,
utr,grn,20010527,6-0,13500,
nec,psv,20010527,2-4,12000,
rkc,rdj,20010527,3-2, 6200,
spr,vit,20010527,2-2, 5547,
rbc,fyn,20010527,0-1, 5000,
ajx,az1,20010527,5-1,36656,
fst,wl2,20010531,4-1, 9000,
grf,nac,20010531,1-1,11000,
