club1,club2,dd,result,spectators,remark
nac,fst,19981121,1-1, 9603,
rdj,vit,19981121,3-1, 7000,
grf,hrv,19981121,1-1, 7500,
twn,wl2,19981121,5-1,12500,
fyn,cmb,19981121,4-0,23900,
spr,az1,19981122,0-0, 4500,
psv,utr,19981122,5-0,26600,
rkc,ajx,19981122,0-1, 6000,
cmb,fst,19981127,3-1, 7500,
rdj,mvv,19981127,2-1, 7000,
psv,grf,19981128,2-2,27500,
spr,fyn,19981129,1-2, 7500,
utr,wl2,19981129,2-0,13000,
vit,ajx,19981129,3-2,25800,
nec,rkc,19981216,1-1, 5000,
hrv,psv,19981201,3-3,13870,
az1,rdj,19981202,1-0, 7270,
cmb,utr,19981202,1-1, 8000,
fst,rkc,19981203,3-2, 5000,
nec,spr,19981202,3-1, 5000,
wl2,vit,19981204,3-5,10800,
spr,cmb,19981205,1-2, 3500,
ajx,mvv,19981206,1-1,35000,
nac,psv,19981206,3-4,11500,
az1,twn,19981206,1-1, 7265,
utr,grf,19981206,2-1,12000,
rkc,fyn,19981210,0-5, 6200,
rdj,hrv,19990323,2-1, 6000,
mvv,fst,19981211,3-3, 7000,
wl2,nec,19981212,1-0,11375,
spr,twn,19981213,4-2, 3500,
grf,nac,19981213,0-1, 7050,
az1,utr,19981213,4-3, 8275,
vit,fyn,19981213,1-1,25800,
ajx,hrv,19981213,0-0,41234,
nac,cmb,19981216,2-3, 8047,
rdj,twn,19981216,2-0, 6000,
hrv,mvv,19981218,1-1,13870,
psv,wl2,19981219,1-0,26100,
grf,az1,19981219,1-1, 7850,
utr,spr,19981220,4-1,13500,
fyn,ajx,19981220,1-1,45000,
nec,fst,19981220,0-3,11000,
twn,vit,19981219,0-0,13500,
rkc,nac,19981220,2-1, 4250,
nec,grf,19990205,1-1, 6000,
fst,nac,19990206,2-0, 5500,
wl2,hrv,19990206,3-2,11200,
rkc,mvv,19990207,2-2, 4725,
spr,utr,19990214,0-1, 3000,
twn,ajx,19990214,2-1,13500,
az1,fyn,19990402,0-2,10560,
cmb,rdj,19990406,1-1, 7600,
vit,psv,19990420,3-3,26200,
twn,az1,19990206,0-3,12750,
rdj,nec,19990209,5-2, 6000,
vit,nac,19990217,3-1,20000,
nec,wl2,19990217,0-3, 4500,
rkc,fst,19990217,0-0, 4500,
psv,twn,19990218,3-0,26350,
utr,hrv,19990221,2-2,13000,
cmb,fyn,19990317,1-5,10000,
mvv,rdj,19990401,0-0, 8200,
spr,grf,19990402,2-3, 5000,
hrv,ajx,19990217,2-2,14000,
rdj,spr,19990220,1-0, 6000,
fst,cmb,19990220,2-0, 5500,
az1,rkc,19990220,2-1, 7470,
vit,mvv,19990220,2-1,21900,
grf,twn,19990221,0-2, 8250,
fyn,psv,19990221,3-1,38500,
wl2,utr,19990227,1-0,11200,
nac,grf,19990224,0-1,12731,
fyn,rkc,19990224,1-0,25097,
cmb,vit,19990226,2-2, 7500,
nec,mvv,19990227,1-1, 4500,
rdj,az1,19990227,8-2, 7750,
psv,nac,19990227,2-0,26400,
ajx,spr,19990228,5-1,41000,
fyn,hrv,19990228,2-1,35460,
fst,wl2,19990407,1-2, 6300,
rdj,psv,19990305,1-3, 8500,
nac,hrv,19990306,2-2,11348,
az1,cmb,19990306,3-1, 7645,
mvv,twn,19990306,2-5, 6000,
vit,fst,19990306,1-2,22500,
spr,nec,19990307,1-0, 4500,
ajx,utr,19990307,5-2,40121,
rkc,wl2,19990307,1-3, 6150,
grf,fyn,19990307,3-4, 9000,
wl2,grf,19990313,2-0,11700,
hrv,rkc,19990313,2-0,13700,
psv,cmb,19990313,3-0,26500,
spr,vit,19990314,1-3, 5000,
utr,az1,19990314,2-2,13500,
twn,rdj,19990314,0-0,12500,
mvv,ajx,19990316,1-4,10000,
nac,rkc,19990317,0-2,10873,
fst,utr,19990317,3-2, 6000,
twn,nec,19990319,2-0,12500,
cmb,mvv,19990320,1-0, 7800,
az1,fst,19990320,0-3, 7756,
hrv,grf,19990320,4-1,13700,
utr,nac,19990321,2-0,12800,
spr,psv,19990321,0-5, 4500,
ajx,vit,19990321,0-1,49876,
wl2,fyn,19990321,4-1,14600,
rdj,wl2,19990318,0-2, 6500,
grf,mvv,19990327,3-1, 9100,
fst,hrv,19990402,1-0, 7300,
nec,cmb,19990402,1-0, 4000,
rkc,vit,19990403,0-2, 6200,
psv,ajx,19990404,3-1,30000,
twn,utr,19990405,1-1,12500,
fyn,spr,19990405,1-0,41659,
az1,nac,19990413,3-0, 6850,
spr,rkc,19990409,0-1, 3500,
mvv,psv,19990409,1-1, 7500,
grf,fst,19990410,0-0, 8750,
hrv,nec,19990410,3-2,13600,
nac,rdj,19990410,0-0, 9500,
wl2,az1,19990410,2-0,14140,
vit,twn,19990410,1-1,24500,
fyn,utr,19990411,4-2,36202,
cmb,ajx,19990411,4-1,10500,
nac,wl2,19990404,2-2, 9900,
vit,hrv,19990416,1-2,25000,
az1,grf,19990417,1-3, 7250,
twn,cmb,19990417,0-0,12500,
mvv,spr,19990417,1-1, 6000,
psv,nec,19990417,2-0,26500,
utr,rkc,19990418,1-1,13500,
ajx,fst,19990418,1-3,35432,
rdj,fyn,19990512,1-0, 8000,
ajx,nec,19990421,3-0,24400,
grf,psv,19990423,1-0, 8600,
cmb,spr,19990424,2-4, 8000,
hrv,az1,19990424,2-1,13800,
fst,rdj,19990425,0-1, 7800,
fyn,nac,19990425,2-2,47000,
nec,vit,19990425,3-1, 6000,
rkc,twn,19990425,2-2, 4600,
utr,mvv,19990425,0-2,13500,
wl2,ajx,19990425,3-1,14743,
mvv,nac,19990430,3-3, 6000,
cmb,hrv,19990501,0-0,11200,
rdj,grf,19990501,3-1, 6000,
twn,fst,19990501,2-2,12000,
psv,rkc,19990501,2-2,27000,
vit,az1,19990501,0-1,23500,
ajx,fyn,19990502,6-0,40500,Feyenoord is dan al kampioen
nec,utr,19990502,0-1, 4000,
spr,wl2,19990502,0-4, 4400,
fst,psv,19990507,6-4, 7000,
nac,spr,19990508,5-0,10459,
hrv,rdj,19990508,2-2,13800,
wl2,mvv,19990508,4-1,14600,
az1,nec,19990508,1-1, 7107,
fyn,twn,19990509,3-1,25026,
utr,vit,19990509,1-2,13700,
rkc,cmb,19990509,4-1, 5500,
grf,ajx,19990509,1-3, 9200,
ajx,rkc,19990516,2-0,35000,
twn,nac,19990516,2-2,11500,
cmb,wl2,19990516,0-2, 8000,
spr,fst,19990516,5-0, 3500,
nec,fyn,19990516,0-3, 5500,
vit,grf,19990516,2-1,24500,
mvv,hrv,19990516,1-0, 4600,
psv,az1,19990516,7-1,26500,
rdj,utr,19990516,3-0, 7500,
fst,nec,19990521,2-3, 6500,
grf,cmb,19990522,2-2, 7250,
nac,ajx,19990523,2-2,13060,
az1,mvv,19990523,4-2, 7334,
fyn,vit,19990523,2-1,35069,
hrv,spr,19990523,0-0,13900,
utr,psv,19990523,2-3,13000,
rkc,rdj,19990523,4-1, 6200,
wl2,twn,19990523,1-2,14250,
