season,rank,name,club,total,remark
2011-2012, 7, altidore, az1, 15,
2011-2012, 8, matavz, psv, 14,
2011-2012, 9, sdejong, ajx, 13,
2012-2013,1, bony, vit, 31,
2012-2013, 2, pelle, fyn, 27,
2012-2013, 3, finnbogason, hrv, 24,
2012-2013, 4, altidore, az1, 23,
2012-2013, 5, malki, rdj, 17,
2012-2013, 6, mertens, psv, 16,
2012-2013, 7, lens, psv, 15,
2012-2013, 8, mulenga, utr, 14,
2012-2013, 8, wijnaldum, psv, 14,
2012-2013,10, castaignos, twn, 13,
2013-2014, 1, finnbogason, hrv, 29,
2013-2014, 2, pelle, fyn, 23,
2013-2014, 3, johannsson, az1, 17,
2013-2014, 4, tadic, twn, 16,
2013-2014, 5, castaignos, twn, 14,
2013-2014, 5, higdon, nec, 14,
2013-2014, 7, locadia, psv, 13,
2013-2014, 8, toornstra, utr, 12,
2013-2014, 8, immers, fyn, 12,
2013-2014, 8, depay, psv, 12,
2014-2015, 1, depay, psv, 22,
2014-2015, 2, ldejong, psv, 20,
2014-2015, 3, kramer, adh, 17,
2014-2015, 3, deleeuw, grn, 17,
2014-2015, 5, chery, grn, 15,
2014-2015, 5, uth, hrv, 15,
2014-2015, 7, tighadouini, nac, 14,
2014-2015, 7, wijnaldum, psv, 14,
2014-2015, 9, van Weert, exc, 13,
2014-2015, 9, Ogbeche, cmb, 13,
2014-2015, 9, ziyech, twn, 13,
2014-2015, 9, traore, vit, 13,
2015-2016, 1, vjanssen, az1, 27,
2015-2016, 2, ldejong, psv, 26,
2015-2016, 3, milik, ajx, 21,
2015-2016, 4, kuyt, fyn, 19,
2015-2016, 5, ziyech, twn, 17,
2015-2016, 5, haller, utr, 17,
2015-2016, 7, havenaar, adh, 16,
2015-2016, 7, santos, nec, 16,
2015-2016, 9, kramer, fyn, 14,
2015-2016, 9, veldwijk, pzw, 14,
2016-2017, 1, jorgensen, fyn, 21,
2016-2017, 2, vwolfswinkel, vit, 20,
2016-2017, 3, Armenteros, hrc, 19,
2016-2017, 3, Ghoochannejhad, hrv, 19,
2016-2017, 5, &Uuml;nal, twn, 18,
2016-2017, 6, Mahi, grn, 17,
2016-2017, 7, Dolberg, ajx, 16,
2016-2017, 8, Klaassen, ajx, 14,
2016-2017, 8, toornstra, fyn, 14,
2016-2017,10, weghorst, az1, 13,
2016-2017,11, haller, utr, 13,
2017-2018, 1, Alireza Jahanbakhsh, az1, 21,
2017-2018, 2, Bj&oslash;rn Johnsen, adh, 19,
2017-2018, 3, weghorst, az1, 18,
2017-2018, 3, berghuis, fyn, 18,
2017-2018, 5, lozano, psv, 17,
2017-2018, 6, Fran Sol, wl2, 16,
2017-2018, 7, Bryan Linssen, vit, 15,
2017-2018, 8, David Neres, ajx, 14,
2017-2018, 8, Marco van Ginkel, psv, 14,
2017-2018, 8, matavz, vit, 14,
2017-2018,11, huntelaar, ajx, 13,
2018-2019, 1, tadic, ajx, 28,
2018-2019, 1, ldejong, psv, 28,
2018-2019, 3, Dalmau, hrc, 19,
2018-2019, 4, El Khayati, adh, 17,
2018-2019, 4, lozano, psv, 17,
2018-2019, 6, huntelaar, ajx, 16,
2018-2019, 6, ziyech, ajx, 16,
2018-2019, 6, vpersie, fyn, 16,
2018-2019, 6, Lammers, hrv, 16,
2018-2019, 6, Vlap, hrv, 16,
2018-2019,11, Mlapa, vvv, 15,
2018-2019,12, Bergwijn, psv, 14,
2019-2020, 1, berghuis, fyn, 15,
2019-2020, 1, Cyriel Dessers, hrc, 15,
2020-2021, 1, giakoumakis, vvv, 26,
2020-2021, 2, malen, psv, 19,
2020-2021, 3, berghuis, fyn, 18,
2020-2021, 4, Danilo, twn, 17,
2020-2021, 5, Vloet, hrc, 16,
2020-2021, 6, Boadu, az1, 15,
2020-2021, 6, T. Koopmeiners, az1, 15,
2020-2021, 8, tadic, ajx, 14,
2020-2021, 8, H. Veerman, hrv, 14,
2020-2021, 8, Thy, spr, 14,
2020-2021,11, De Leeuw, emm, 13,
2021-2022, 1, haller, ajx, 21,
2021-2022, 2, Openda, vit, 18,
2021-2022, 3, Pavlidis, az1, 16,
2021-2022, 3, Van Wolfswinkel, twn, 16,
2021-2022, 5, Karlsson, az1, 15,
2021-2022, 5, Til, fyn, 15,
2021-2022, 7, Larsen, grn, 14,
2021-2022, 8, tadic, ajx, 13,
2021-2022, 8, Linssen, fyn, 13,
2021-2022,10, Sinisterra, fyn, 12,
2021-2022,10, Flemming, fst, 12,
2021-2022,10, Gakpo, psv, 12,
2022-2023, 1, Douvikas, utr, 19,
2022-2023, 1, Simons, psv, 19,
2022-2023, 3, Van Hooijdonk, hrv, 16,
2022-2023, 4, Gimenez, fyn, 15,
2022-2023, 5, ldejong, psv, 14,
2022-2023, 6, Brobbey, ajx, 13,
2022-2023, 6, Cerny, twn, 13,
2022-2023, 8, Bergwijn, ajx, 12,
2022-2023, 8, Pavlidis, az1, 12,
2022-2023, 8, Pepi, grn, 12,
2022-2023, 8, Kramer, rkc, 12,
2022-2023, 8, Lauritsen, spr, 12,
2022-2023, 8, V. van Crooij, spr, 12,
2023-2024, 1, Pavlidis, az1, 29,
2023-2024, 1, ldejong, psv, 29,
2023-2024, 3, Gimenez, fyn, 23,
2023-2024, 4, Brobbey, ajx, 18,
2023-2024, 5, Steijn, twn, 17,
2023-2024, 6, Van Wolfswinkel, twn, 16,
2023-2024, 7, Thy, pzw, 13,
2023-2024, 8, Bergwijn, ajx, 12,
2023-2024, 8, Sierhuis, fst, 12,
2023-2024, 8, Bakayoko, psv, 12,
2023-2024, 8, Lauritsen, spr, 12,
