club1,club2,dd,result,remark
spr,vit,19930509,0-3,
rdj,psv,19930511,2-0,
drd,rdj,19930515,0-1,
wl2,mvv,19930515,4-1,
gae,vol,19930515,0-0,
fst,cmb,19930515,1-1,
grn,dbs,19930516,1-1,
utr,rkc,19930516,0-1,
twn,ajx,19930516,2-0,
spr,psv,19930516,2-5,
vit,fyn,19930516,1-1,
drd,psv,19930519,2-2,
vit,psv,19930523,1-0,
vol,spr,19930523,3-3,
fyn,wl2,19930523,3-0,
cmb,utr,19930523,1-2,
ajx,grn,19930523,4-0,
rkc,drd,19930523,0-3,
dbs,twn,19930523,2-0,
rdj,gae,19930523,4-0,
mvv,fyn,19930525,0-2,
ajx,fst,19930527,5-1,
gae,rkc,19930529,2-4,
twn,mvv,19930531,3-0,
spr,rdj,19930531,2-4,
wl2,vit,19930531,1-2,
drd,cmb,19930531,4-0,
psv,vol,19930531,2-2,
grn,fyn,19930531,0-5,
fst,dbs,19930531,1-1,
utr,ajx,19930531,1-2,
