club1,club2,dd,result,spectators
vvv,ajx,19940311,0-1,-1
nac,gae,19940312,2-2,-1
cmb,mvv,19940312,2-1,-1
vol,grn,19940313,1-0,-1
rkc,psv,19940313,1-1,-1
twn,fyn,19940313,1-1,-1
rdj,spr,19940313,4-0,-1
utr,vit,19940313,2-1,-1
hrv,nac,19940318,1-3,-1
gae,vol,19940319,0-1,-1
mvv,vvv,19940319,0-0,-1
grn,rkc,19940320,1-2,-1
psv,utr,19940320,1-0,-1
spr,cmb,19940320,4-0,-1
wl2,fyn,19940320,2-1,-1
vit,rdj,19940320,1-3,-1
nac,wl2,19940326,1-1,-1
vvv,spr,19940326,1-4,-1
cmb,vit,19940326,1-3,-1
fyn,ajx,19940327,2-1,47500
vol,hrv,19940327,3-0,-1
rkc,utr,19940327,3-0,-1
grn,gae,19940327,3-1,-1
rdj,psv,19940327,4-0,-1
twn,mvv,19940327,4-2,-1
twn,wl2,19940401,4-0,-1
mvv,fyn,19940401,1-1,-1
psv,cmb,19940402,2-0,-1
vit,vvv,19940404,4-0,-1
wl2,vol,19940404,0-2,-1
spr,twn,19940404,2-5,-1
ajx,nac,19940404,5-0,-1
gae,rkc,19940404,2-0,-1
utr,rdj,19940404,1-1,-1
hrv,grn,19940405,2-0,-1
vvv,psv,19940408,0-3,-1
nac,mvv,19940409,1-4,-1
gae,hrv,19940409,2-3,-1
cmb,utr,19940409,2-1,-1
twn,vit,19940410,0-1,-1
grn,wl2,19940410,4-1,-1
rkc,rdj,19940410,1-1,-1
fyn,spr,19940410,5-1,-1
vol,ajx,19940412,1-0,-1
psv,twn,19940413,3-2,-1
mvv,vol,19940416,1-1,-1
hrv,rkc,19940416,0-3,-1
wl2,gae,19940416,0-0,-1
ajx,twn,19940417,6-0,-1
vit,fyn,19940417,1-2,-1
spr,nac,19940417,0-0,-1
rdj,cmb,19940417,1-1,-1
utr,vvv,19940417,2-3,-1
nac,vit,19940423,2-2,-1
vvv,rdj,19940423,2-2,-1
hrv,wl2,19940423,1-2,-1
twn,utr,19940424,1-0,-1
grn,mvv,19940424,3-2,-1
rkc,cmb,19940424,3-0,-1
gae,ajx,19940424,0-3,-1
vol,spr,19940424,2-1,-1
vvv,hrv,19940427,1-1,-1
nac,vol,19940427,3-1,-1
fyn,grn,19940427,2-2,-1
cmb,wl2,19940427,0-1,-1
psv,spr,19940427,2-1,-1
rkc,vit,19940427,0-0,-1
rdj,ajx,19940427,1-2,-1
rdj,twn,19940501,1-4,-1
utr,fyn,19940501,0-0,-1
rkc,wl2,19940501,1-0,-1
psv,nac,19940501,3-1,-1
mvv,gae,19940501,2-2,-1
vit,vol,19940501,2-1,-1
spr,grn,19940501,3-0,-1
cmb,vvv,19940501,2-1,-1
ajx,hrv,19940501,2-1,-1
ajx,grn,19940503,0-2,-1
fyn,psv,19940503,2-1,-1
nac,utr,19940508,2-2,-1
vvv,rkc,19940508,0-2,-1
vol,psv,19940508,3-2,-1
wl2,ajx,19940508,2-1,-1
fyn,rdj,19940508,2-1,-1
gae,spr,19940508,1-5,-1
grn,vit,19940508,0-0,-1
hrv,mvv,19940508,3-1,-1
twn,cmb,19940508,4-1,-1
