club1,club2,dd,result,spectators
spr,vol,19941009,2-0,-1
utr,nac,19941009,2-2,-1
rdj,spr,19941014,1-0,-1
psv,hrv,19941015,3-1,-1
nac,drd,19941015,1-1,-1
vit,nec,19941016,2-0,-1
vol,mvv,19941016,1-1,-1
fyn,utr,19941016,3-0,-1
rkc,wl2,19941016,1-1,-1
twn,grn,19941016,2-2,-1
ajx,gae,19941016,4-0,-1
hrv,vit,19941021,3-0,-1
rdj,nec,19941022,3-1,-1
nac,spr,19941022,1-3,-1
psv,ajx,19941023,1-4,-1
gae,rdj,19941026,0-4,-1
ajx,hrv,19941026,5-1,-1
wl2,psv,19941026,2-1,-1
vol,nac,19941026,1-1,-1
mvv,fyn,19941026,1-4,-1
grn,rkc,19941026,3-1,-1
spr,drd,19941026,3-1,-1
drd,gae,19941029,1-1,-1
psv,grn,19941029,5-0,-1
fyn,vol,19941030,5-2,-1
rdj,psv,19941101,3-0,-1
gae,spr,19941105,1-1,-1
mvv,rkc,19941105,2-1,-1
hrv,rdj,19941105,0-0,-1
nec,drd,19941106,4-0,-1
wl2,ajx,19941106,1-4,-1
vol,twn,19941106,0-2,-1
fyn,nac,19941106,1-0,-1
grn,vit,19941106,1-1,-1
utr,psv,19941106,1-2,-1
ajx,grn,19941109,3-1,-1
vit,utr,19941109,2-1,-1
rdj,wl2,19941109,3-0,-1
nac,gae,19941109,3-0,-1
psv,mvv,19941109,4-0,-1
rkc,vol,19941109,2-3,-1
fyn,nec,19941110,3-2,-1
drd,hrv,19941112,1-1,-1
utr,twn,19941113,0-4,-1
spr,nec,19941113,2-0,-1
wl2,drd,19941119,1-0,-1
vol,psv,19941119,0-0,-1
mvv,vit,19941119,2-3,-1
hrv,spr,19941119,1-0,-1
nec,gae,19941120,2-1,-1
utr,ajx,19941120,0-0,-1
twn,fyn,19941120,5-1,-1
grn,rdj,19941120,0-2,-1
twn,nac,19941122,2-1,-1
gae,hrv,19941126,0-4,-1
drd,grn,19941126,0-1,-1
nac,nec,19941126,2-0,-1
spr,wl2,19941127,0-2,-1
psv,fyn,19941127,4-1,-1
rdj,utr,19941127,1-0,-1
vit,vol,19941127,0-0,-1
rkc,twn,19941127,1-0,-1
ajx,mvv,19941127,3-1,-1
mvv,rdj,19941202,1-1,-1
wl2,gae,19941203,4-0,-1
hrv,nec,19941203,4-2,-1
utr,drd,19941204,3-1,-1
rkc,nac,19941204,2-0,-1
fyn,vit,19941204,0-3,-1
vol,ajx,19941204,2-2,-1
twn,psv,19941204,2-2,-1
grn,spr,19941204,4-0,-1
psv,rkc,19941206,2-2,-1
hrv,nac,19941209,4-3,-1
spr,utr,19941211,5-0,-1
vit,wl2,19941211,3-1,-1
twn,mvv,19941211,3-0,-1
gae,grn,19941217,2-4,-1
rdj,vol,19941217,2-1,-1
drd,mvv,19941217,1-2,-1
nec,wl2,19941218,2-2,-1
nac,ajx,19941218,2-2,-1
vit,twn,19941218,6-1,-1
fyn,rkc,19941218,1-0,-1
nec,ajx,19941221,0-2,-1
rkc,ajx,19950113,1-1,-1
nac,wl2,19950114,0-0,-1
mvv,gae,19950114,1-1,-1
utr,nec,19950115,2-2,-1
fyn,drd,19950115,5-4,-1
vol,spr,19950115,1-0,-1
grn,hrv,19950115,0-0,-1
hrv,utr,19950121,2-0,-1
gae,vol,19950121,0-2,-1
rdj,rkc,19950121,2-0,-1
drd,twn,19950121,1-2,-1
wl2,grn,19950121,3-0,-1
ajx,psv,19950122,1-0,-1
nec,mvv,19950122,4-0,-1
vit,nac,19950122,1-1,-1
fyn,spr,19950122,4-0,-1
twn,spr,19950127,3-3,-1
psv,rdj,19950128,5-0,-1
utr,wl2,19950129,0-0,-1
vit,ajx,19950129,2-3,-1
rkc,drd,19950129,4-1,-1
vol,nec,19950129,5-1,-1
drd,psv,19950203,0-2,-1
hrv,vol,19950204,4-0,-1
rdj,vit,19950204,5-0,-1
wl2,mvv,19950204,1-0,-1
ajx,nac,19950205,3-1,-1
spr,rkc,19950205,5-2,-1
hrv,twn,19950210,1-4,-1
vol,wl2,19950210,0-0,-1
psv,vit,19950211,3-2,-1
mvv,spr,19950211,0-0,-1
grn,nec,19950212,2-2,-1
ajx,fyn,19950212,4-1,42000
rkc,utr,19950212,2-1,-1
psv,spr,19950215,4-0,-1
nac,utr,19950215,4-0,-1
fyn,hrv,19950215,2-1,-1
vit,drd,19950215,2-0,-1
twn,nec,19950215,1-1,-1
rkc,gae,19950215,2-1,-1
mvv,grn,19950215,0-1,-1
ajx,rdj,19950215,1-1,-1
rdj,nac,19950218,2-0,-1
grn,vol,19950219,2-2,-1
gae,psv,19950219,1-1,-1
wl2,fyn,19950219,1-2,-1
nec,rkc,19950219,1-2,-1
drd,ajx,19950219,1-3,-1
spr,vit,19950219,1-1,-1
utr,mvv,19950219,7-2,-1
fyn,gae,19950225,0-0,-1
twn,rdj,19950225,1-2,-1
grn,utr,19950226,1-1,-1
rkc,hrv,19950303,1-1,-1
rdj,drd,19950304,2-0,-1
psv,nec,19950304,3-0,-1
nac,mvv,19950304,2-1,-1
fyn,grn,19950305,4-2,-1
vit,gae,19950305,5-0,-1
twn,wl2,19950305,0-3,-1
nac,psv,19950307,1-2,-1
gae,twn,19950308,0-2,-1
wl2,hrv,19950308,3-1,-1
vol,drd,19950308,1-0,-1
rkc,vit,19950308,0-0,-1
wl2,rkc,19950311,1-0,-1
hrv,psv,19950311,1-2,-1
mvv,vol,19950311,1-1,-1
spr,rdj,19950312,0-0,-1
utr,fyn,19950312,0-0,-1
grn,twn,19950312,1-2,-1
gae,ajx,19950312,1-2,-1
nec,vit,19950312,0-1,-1
drd,nac,19950312,2-5,-1
psv,wl2,19950318,3-2,-1
nac,vol,19950318,0-1,-1
drd,spr,19950318,3-1,-1
ajx,nec,19950319,5-1,-1
rdj,gae,19950319,3-2,-1
fyn,mvv,19950319,6-1,-1
vit,hrv,19950319,3-1,-1
twn,utr,19950319,2-1,-1
rkc,grn,19950319,3-0,-1
ajx,spr,19950322,8-0,-1
drd,wl2,19950324,3-0,-1
mvv,hrv,19950325,1-0,-1
nac,grn,19950325,1-3,-1
utr,gae,19950326,2-2,-1
fyn,rdj,19950326,1-2,-1
twn,ajx,19950326,0-1,-1
mvv,twn,19950401,0-1,-1
gae,drd,19950401,1-3,-1
wl2,vit,19950401,1-1,-1
spr,nac,19950402,1-2,-1
utr,rkc,19950402,0-0,-1
grn,psv,19950402,3-2,-1
nec,rdj,19950402,3-1,-1
vol,fyn,19950402,0-3,-1
hrv,ajx,19950402,3-3,-1
rdj,hrv,19950407,1-0,-1
drd,nec,19950408,1-0,-1
vit,grn,19950409,0-0,-1
psv,utr,19950409,4-0,-1
rkc,mvv,19950409,1-1,-1
twn,vol,19950409,2-0,-1
spr,gae,19950409,1-2,-1
ajx,wl2,19950409,7-0,-1
nac,fyn,19950409,1-2,-1
nec,fyn,19950412,0-1,-1
gae,nac,19950414,5-1,-1
mvv,psv,19950414,2-3,-1
hrv,drd,19950415,1-1,-1
grn,ajx,19950416,2-4,-1
wl2,rdj,19950417,0-0,-1
vol,rkc,19950417,0-2,-1
fyn,twn,19950417,0-3,-1
utr,vit,19950417,1-4,-1
nec,spr,19950417,1-1,-1
gae,nec,19950421,3-2,-1
vol,utr,19950423,0-1,-1
nac,twn,19950428,2-1,-1
rdj,grn,19950429,2-1,-1
psv,vol,19950429,1-1,-1
vit,mvv,19950430,2-1,-1
rkc,fyn,19950430,2-1,-1
spr,hrv,19950430,2-0,-1
mvv,ajx,19950503,0-3,-1
wl2,spr,19950506,1-0,-1
grn,drd,19950506,2-2,-1
hrv,gae,19950506,0-1,-1
twn,rkc,19950507,1-1,-1
vol,vit,19950507,3-2,-1
fyn,psv,19950507,3-2,-1
utr,rdj,19950507,2-4,-1
nec,nac,19950507,0-1,-1
ajx,utr,19950510,2-1,-1
rdj,mvv,19950513,4-0,-1
nac,rkc,19950513,1-2,-1
gae,wl2,19950513,4-2,-1
drd,utr,19950513,1-1,-1
psv,twn,19950513,3-1,-1
nec,hrv,19950514,3-0,-1
ajx,vol,19950514,4-1,-1
vit,fyn,19950514,0-3,-1
spr,grn,19950514,3-1,-1
fyn,ajx,19950518,0-5,-1
utr,spr,19950519,0-0,-1
nac,hrv,19950520,2-3,-1
wl2,nec,19950521,1-3,-1
rkc,psv,19950521,2-4,-1
twn,vit,19950521,1-3,-1
vol,rdj,19950521,3-3,-1
mvv,drd,19950521,3-3,-1
grn,gae,19950523,2-3,-1
vit,rkc,19950527,1-1,-1
hrv,wl2,19950527,1-0,-1
spr,mvv,19950528,2-2,-1
nec,grn,19950528,2-1,-1
ajx,twn,19950528,3-1,-1
rdj,fyn,19950528,5-0,-1
gae,utr,19950528,2-4,-1
drd,vol,19950528,5-1,1200
psv,nac,19950528,2-4,-1
