club1,club2,dd,result,spectators
utr,cmb,20141123,1-3,15355
drd,wl2,20141128,0-4, 3844
cmb,az1,20141129,0-2, 9843
nac,utr,20141129,1-5,17300
vit,gae,20141129,2-2,15342
hrv,hrc,20141129,0-1,23900
adh,ajx,20141130,1-1,14657
twn,grn,20141130,1-2,29600
exc,pzw,20141130,0-5, 3600
psv,fyn,20141217,4-3,34500
exc,fyn,20141206,2-5, 3600
az1,gae,20141206,2-0,15188
cmb,nac,20141206,0-1, 9523
ajx,wl2,20141206,5-0,50455
drd,psv,20141206,1-3, 3902
pzw,adh,20141207,3-1,11700
grn,hrv,20141207,1-1,20705
utr,hrc,20141207,2-4,15006
vit,twn,20141207,2-2,15894
hrc,drd,20141212,1-1, 8300
nac,hrv,20141213,0-2,18400
adh,exc,20141213,2-2,12146
wl2,pzw,20141213,0-1,11500
gae,cmb,20141213,1-2, 7837
ajx,utr,20141214,3-1,48007
psv,twn,20141214,2-0,33000
grn,vit,20141214,1-1,18692
fyn,az1,20141214,2-2,47500
hrv,adh,20141219,0-0,23200
cmb,pzw,20141220,2-1, 9834
psv,gae,20141220,5-0,31200
drd,grn,20141220,1-1, 3752
az1,utr,20141220,0-3,14825
vit,hrc,20141221,3-0,15432
exc,ajx,20141221,0-2, 3600
nac,fyn,20141221,0-1,18500
twn,wl2,20141221,3-2,28200
ajx,grn,20150116,2-0,50441
pzw,nac,20150117,4-1,12200
adh,cmb,20150117,2-2,10021
az1,drd,20150117,2-0,14714
vit,psv,20150117,0-1,17894
wl2,gae,20150118,1-0,11250
fyn,twn,20150118,3-1,46000
utr,hrv,20150118,1-2,15560
hrc,exc,20150118,0-3, 8350
twn,hrc,20150123,2-0,28800
cmb,psv,20150124,1-2, 9911
pzw,az1,20150124,1-1,12250
drd,exc,20150124,1-0, 3731
hrv,vit,20150124,4-1,23900
ajx,fyn,20150125,0-0,52472
grn,utr,20150125,2-2,19561
nac,wl2,20150125,0-0,17800
gae,adh,20150125,1-0, 7639
drd,hrv,20150129,0-0, 3921
psv,wl2,20150130,2-1,33000
grn,gae,20150130,2-0,20239
twn,cmb,20150130,2-1,28100
exc,nac,20150130,0-0, 3600
vit,ajx,20150131,1-0,20384
fyn,adh,20150131,2-1,45000
utr,pzw,20150131,0-2,19078
az1,hrc,20150131,3-1,14512
gae,exc,20150203,0-0, 7592
nac,psv,20150203,0-2,18200
hrv,fyn,20150204,3-1,25155
adh,twn,20150204,2-0,12998
pzw,drd,20150204,4-0,11430
cmb,vit,20150204,0-2, 9373
wl2,utr,20150204,1-0,11230
hrc,grn,20150205,2-2, 8115
ajx,az1,20150205,0-1,47724
twn,exc,20150207,1-3,27500
drd,adh,20150207,0-0, 3974
hrv,pzw,20150207,4-0,25145
psv,utr,20150207,3-1,31000
nac,vit,20150207,0-1,17800
fyn,cmb,20150208,2-1,45000
gae,ajx,20150208,1-2, 8004
wl2,hrc,20150208,3-0,14500
grn,az1,20150208,2-4,18807
az1,psv,20150213,2-4,17081
hrc,fyn,20150214,2-0, 8312
vit,wl2,20150214,2-0,13956
exc,grn,20150214,1-1, 3450
adh,nac,20150214,3-2,11112
cmb,hrv,20150215,2-1,10000
utr,drd,20150215,6-1,15281
pzw,gae,20150215,0-1,12400
ajx,twn,20150215,4-2,49874
nac,cmb,20150220,2-1,17100
adh,pzw,20150221,3-2,13895
gae,az1,20150221,0-2, 8009
hrc,utr,20150221,1-1, 8197
hrv,grn,20150222,3-1,24894
psv,drd,20150222,3-0,32400
wl2,ajx,20150222,1-1,14500
twn,vit,20150222,1-2,27600
fyn,exc,20150222,3-2,45500
drd,gae,20150227,2-1, 3891
vit,pzw,20150228,2-1,22354
twn,nac,20150228,1-1,27100
az1,wl2,20150228,2-0,16341
cmb,hrc,20150228,1-0, 9520
psv,ajx,20150301,1-3,35000
exc,hrv,20150301,3-0, 3600
utr,fyn,20150301,0-0,18030
grn,adh,20150301,1-1,19718
twn,straf,pnt,3,
wl2,twn,20150306,2-2,13450
gae,psv,20150307,0-3, 8008
pzw,cmb,20150307,6-1,12450
adh,hrv,20150307,0-1,10876
hrc,vit,20150307,1-1, 8231
ajx,exc,20150308,1-0,51068
utr,az1,20150308,6-2,18120
fyn,nac,20150308,3-0,44000
grn,drd,20150308,2-0,21017
vit,az1,20150313,3-1,23381
twn,pzw,20150314,2-0,28900
cmb,utr,20150314,3-1, 9685
nac,gae,20150314,1-0,18600
exc,wl2,20150314,2-3, 3600
psv,grn,20150315,2-1,34000
hrv,ajx,20150315,1-4,27224
drd,fyn,20150315,1-2, 4088
adh,hrc,20150315,1-3,10964
utr,nac,20150320,3-4,17681
gae,vit,20150321,0-2, 7863
hrc,hrv,20150321,1-4, 8359
wl2,drd,20150321,2-1,11890
az1,cmb,20150321,2-1,15636
pzw,exc,20150322,1-1,11935
fyn,psv,20150322,2-1,47500
grn,twn,20150322,2-2,20171
ajx,adh,20150322,1-0,49743
twn,psv,20150404,0-5,29900
drd,hrc,20150404,2-3, 3927
hrv,nac,20150404,0-0,23987
vit,grn,20150404,1-1,20121
pzw,wl2,20150404,1-0,12250
az1,fyn,20150405,1-4,16503
utr,ajx,20150405,1-1,20046
cmb,gae,20150405,1-0, 9617
exc,adh,20150405,2-3, 3600
twn,straf,pnt,3, # 2e keer
psv,pzw,20150410,3-1,35000
exc,vit,20150411,1-3, 3600
hrv,az1,20150411,5-2,24886
nac,drd,20150411,2-2,18600
hrc,ajx,20150411,0-2, 8431
wl2,fyn,20150412,2-2,14400
gae,twn,20150412,1-3, 7703
grn,cmb,20150412,3-2,21821
adh,utr,20150412,2-0,10102
cmb,exc,20150417,1-1, 9644
az1,adh,20150418,3-1,15914
psv,hrv,20150418,4-1,35000
vit,drd,20150418,3-0,17126
wl2,grn,20150418,1-4,12680
fyn,gae,20150419,0-1,47000
ajx,nac,20150419,0-0,51596
hrc,pzw,20150419,2-0, 8361
utr,twn,20150419,1-0,17219
adh,vit,20150424,1-0,14837
hrv,wl2,20150425,1-1,24211
gae,utr,20150425,0-2, 8011
nac,hrc,20150425,1-3,19000
exc,psv,20150425,2-3, 3600
drd,cmb,20150426,0-0, 3625
pzw,ajx,20150426,1-1,12500
grn,fyn,20150426,1-1,21815
twn,az1,20150426,0-2,29600
psv,hrc,20150510,2-0,33300
ajx,cmb,20150510,3-0,51140
az1,nac,20150510,3-2,15725
gae,hrv,20150510,1-1, 7861
grn,pzw,20150510,0-1,20214
wl2,adh,20150510,1-0,12500
utr,exc,20150510,2-2,17507
twn,drd,20150510,3-0,27700
fyn,vit,20150511,1-4,46500
adh,psv,20150517,2-3,14937
drd,ajx,20150517,2-1, 4103
pzw,fyn,20150517,3-0,12420
exc,az1,20150517,1-4, 3600
vit,utr,20150517,3-3,18696
hrv,twn,20150517,1-3,25000
nac,grn,20150517,4-5,16500
cmb,wl2,20150517,1-2, 9925
hrc,gae,20150517,1-0, 8233
