club1,club2,dd,result,spectators
rbc,vit,20030322,3-1, 5000
rdj,nec,20030322,2-1,12500
twn,rkc,20030322,2-1,13200
az1,grf,20030322,3-1, 7105
psv,ajx,20030323,2-0,35000
nac,wl2,20030323,0-0,14325
utr,grn,20030323,0-0,16500
ajx,rbc,20030405,4-1,49182
grf,fyn,20030405,3-4,11000
hrv,rdj,20030405,3-2,14300
twn,nac,20030405,0-0,13200
vit,grn,20030405,0-0,23200
nec,exc,20030406,1-0,10150
rkc,az1,20030406,2-0, 6141
wl2,psv,20030406,1-1,13820
zwl,utr,20030406,3-1, 6400
utr,wl2,20030411,1-1,12500
rdj,psv,20030411,2-3,17000
hrv,nec,20030412,2-3,14400
fyn,vit,20030412,2-1,43000
az1,zwl,20030412,1-1, 7014
twn,grf,20030412,3-0,13175
nac,ajx,20030413,0-3,15700
grn,exc,20030413,1-0,12700
rkc,rbc,20030413,1-2, 5000
utr,rkc,20030418,4-3,14600
rbc,az1,20030419,0-0, 5000
ajx,rdj,20030419,4-2,49421
exc,hrv,20030419,1-0, 3164
psv,twn,20030419,2-0,33500
wl2,grf,20030419,3-0,13500
zwl,fyn,20030420,1-3, 6500
vit,nec,20030420,1-1,24196
grn,nac,20030427,0-0,11473
rkc,wl2,20030425,3-1, 7500
grf,psv,20030426,1-6,12000
hrv,vit,20030426,2-2,14400
twn,exc,20030426,1-0,13000
az1,ajx,20030427,1-3, 7753
fyn,rbc,20030427,1-0,43000
nec,utr,20030427,1-2,11500
nac,zwl,20030506,2-0,10992
rdj,grn,20030513,5-1,12400
exc,grf,20030502,3-4, 3468
wl2,hrv,20030503,1-5,13300
ajx,rkc,20030503,6-1,49067
zwl,rdj,20030503,3-1, 6500
psv,az1,20030503,2-2,33500
vit,nac,20030503,3-1,22500
utr,fyn,20030504,1-2,18925
rbc,twn,20030504,1-0, 5000
grn,nec,20030504,0-0,11000
hrv,grn,20030509,2-1,14400
rdj,rbc,20030509,1-0,12000
nac,utr,20030510,2-0,12950
psv,exc,20030510,7-0,34200
az1,wl2,20030510,3-2, 7326
twn,zwl,20030510,0-0,13300
nec,ajx,20030511,1-2,12000
fyn,rkc,20030511,2-1,43500
grf,vit,20030511,0-1,11000
utr,rdj,20030516,4-4,15500
rbc,nec,20030517,0-2, 5000
zwl,hrv,20030517,0-1, 6600
vit,twn,20030517,0-1,23600
wl2,exc,20030517,2-1,13000
fyn,psv,20030518,3-1,45000
grn,az1,20030518,1-0,11500
rkc,nac,20030518,2-3, 7100
ajx,grf,20030518,7-1,49300
wl2,fyn,20030525,1-1,14600
twn,ajx,20030525,1-2,13400
grf,grn,20030525,1-0,11000
nec,zwl,20030525,0-0,12000
psv,utr,20030525,2-0,34000
nac,az1,20030525,4-0,14268
exc,vit,20030525,4-4, 3124
hrv,rbc,20030525,6-0,14200
rdj,rkc,20030525,1-0,17400
grn,psv,20030529,0-0,12500
ajx,hrv,20030529,3-0,50272
fyn,rdj,20030529,3-1,43500
rbc,nac,20030529,1-2, 5000
rkc,nec,20030529,0-1, 7500
utr,twn,20030529,3-2,16200
vit,wl2,20030529,2-0,22500
az1,exc,20030529,4-1, 7144
zwl,grf,20030529,2-1, 6800
