league,round,team1,team2,dd,result,star,stadium,remark
EL,v2,AMkpn,NLnac,20090723,0-2,1,,
EL,v3,NLpsv,BGtmr,20090730,1-0,-1,,
EL,v3,BGtmr,NLpsv,20090806,0-1,1,,
EL,v3,PLplw,NLnac,20090730,0-1,-1,,
EL,v3,NLnac,PLplw,20090806,3-1,2,,
EL,po,NLtwn,AZkrb,20090820,3-1,-1,,
EL,po,AZkrb,NLtwn,20090827,0-0,1,,
EL,po,NLajx,SKsbr,20090820,5-0,-1,,4x Luis Suarez; waaronder echte hattrick; zijn 2e binnen 2 weken.
EL,po,SKsbr,NLajx,20090827,1-2,1,,
EL,po,NLnac,ESvlr,20090820,1-3,-1,,
EL,po,ESvlr,NLnac,20090827,6-1,2,,
EL,po,ILbny,NLpsv,20090820,0-1,-1,,
EL,po,NLpsv,ILbny,20090827,1-0,2,,
EL,po,GRpks,NLhrv,20090820,1-1,-1,,
EL,po,NLhrv,GRpks,20090827,0-0,2,,
EL,gA,NLajx,ROtms,20090917,0-0,,,
EL,gA,HRdzg,BEand,20090917,0-2,,,
EL,gA,BEand,NLajx,20091001,1-1,,,
EL,gA,ROtms,HRdzg,20091001,0-3,,,
EL,gA,ROtms,BEand,20091022,0-0,,,
EL,gA,NLajx,HRdzg,20091022,2-1,,,
EL,gA,BEand,ROtms,20091105,3-1,,,
EL,gA,HRdzg,NLajx,20091105,0-2,,,
EL,gA,ROtms,NLajx,20091202,1-2,,,
EL,gA,BEand,HRdzg,20091202,0-1,,,
EL,gA,NLajx,BEand,20091217,1-3,,,
EL,gA,HRdzg,ROtms,20091217,1-2,,,
EL,gD,DEhbc,LVvnt,20090917,1-1,,,
EL,gD,NLhrv,PTspp,20090917,2-3,,,
EL,gD,PTspp,DEhbc,20091001,1-0,,,
EL,gD,LVvnt,NLhrv,20091001,0-0,,,
EL,gD,LVvnt,PTspp,20091022,1-2,,,
EL,gD,DEhbc,NLhrv,20091022,0-1,,,
EL,gD,PTspp,LVvnt,20091105,1-1,,,
EL,gD,NLhrv,DEhbc,20091105,2-3,,,
EL,gD,LVvnt,DEhbc,20091203,0-1,,,
EL,gD,PTspp,NLhrv,20091203,1-1,,,
EL,gD,DEhbc,PTspp,20091216,1-0,,,
EL,gD,NLhrv,LVvnt,20091216,5-0,,,
EL,gH,ROstb,MDshf,20090917,0-0,,,
EL,gH,TRfen,NLtwn,20090917,1-2,,,
EL,gH,NLtwn,ROstb,20091001,0-0,,,
EL,gH,MDshf,TRfen,20091001,0-1,,,
EL,gH,MDshf,NLtwn,20091022,2-0,,,
EL,gH,ROstb,TRfen,20091022,0-1,,,
EL,gH,NLtwn,MDshf,20091105,2-1,,,
EL,gH,TRfen,ROstb,20091105,3-1,,,
EL,gH,MDshf,ROstb,20091202,1-1,,,
EL,gH,NLtwn,TRfen,20091202,0-1,,,
EL,gH,ROstb,NLtwn,20091217,1-1,,,
EL,gH,TRfen,MDshf,20091217,1-0,,,
EL,gK,CZspr,NLpsv,20090917,2-2,,,
EL,gK,ROcfr,DKfkp,20090917,2-0,,,
EL,gK,DKfkp,CZspr,20091001,1-0,,,
EL,gK,NLpsv,ROcfr,20091001,1-0,,,
EL,gK,NLpsv,DKfkp,20091022,1-0,,,
EL,gK,CZspr,ROcfr,20091022,2-0,,,
EL,gK,DKfkp,NLpsv,20091105,1-1,,,
EL,gK,ROcfr,CZspr,20091105,2-3,,,
EL,gK,NLpsv,CZspr,20091203,1-0,,,
EL,gK,DKfkp,ROcfr,20091203,2-0,,,
EL,gK,CZspr,DKfkp,20091216,0-3,,,
EL,gK,ROcfr,NLpsv,20091216,0-2,,,
EL,16f,DEhsv,NLpsv,20100218,1-0,-1,,
EL,16f,NLpsv,DEhsv,20100225,3-2,1,,
EL,16f,NLajx,ITjuv,20100218,1-2,-1,,
EL,16f,ITjuv,NLajx,20100225,0-0,2,,
EL,16f,NLtwn,DEwbr,20100218,1-0,-1,,
EL,16f,DEwbr,NLtwn,20100225,4-1,2,,
EL,4f,DEhsv,BEslk,20100401,2-1,-1,,
EL,4f,BEslk,DEhsv,20100408,1-3,1,,
EL,4f,G1flh,DEvwl,20100401,2-1,-1,,
EL,4f,DEvwl,G1flh,20100408,0-1,1,,
EL,4f,ESval,ESamd,20100401,2-2,-1,,
EL,4f,ESamd,ESval,20100408,0-0,2,,
EL,4f,PTbnf,G1lvp,20100401,2-1,-1,,
EL,4f,G1lvp,PTbnf,20100408,4-1,2,,
EL,2f,DEhsv,G1flh,20100422,0-0,-1,,
EL,2f,G1flh,DEhsv,20100429,2-1,2,,
EL,2f,ESamd,G1lvp,20100422,1-0,-1,,
EL,2f,G1lvp,ESamd,20100429,2-1,3,,
EL,f,ESamd,G1flh,20100512,2-1,3,Arena Hamburg,
