league,round,team1,team2,dd,result,star,stadium,remark
CL,8f,G2glr,ESvlr,20060222,2-2,-1,,
CL,8f,ESvlr,G2glr,20060307,1-1,2,,
CL,4f,G1ars,ITjuv,20060328,2-0,-1,,
CL,4f,ITjuv,G1ars,20060405,0-0,1,,
CL,4f,ITiml,ESvlr,20060329,2-1,-1,,
CL,4f,ESvlr,ITiml,20060404,1-0,2,,
CL,4f,FRoly,ITmln,20060329,0-0,-1,,
CL,4f,ITmln,FRoly,20060404,3-1,2,,
CL,4f,PTbnf,ESbcl,20060328,0-0,-1,,
CL,4f,ESbcl,PTbnf,20060405,2-0,2,,
CL,2f,G1ars,ESvlr,20060419,1-0,-1,,
CL,2f,ESvlr,G1ars,20060425,0-0,1,,
CL,2f,ITmln,ESbcl,20060418,0-1,-1,,
CL,2f,ESbcl,ITmln,20060426,0-0,2,,
CL,f,ESbcl,G1ars,20060517,2-1,1,Parijs St. Denis (Stade de France),{a => 'ESbcl'; b => 'G1ars';chronological => [[37;0;1; 'Campbell'];[76;1;1; "Eto'o"];[80;2;1; 'Belletti'] ]; arbiter => 'Hauge (NO)'; publiek => 79500; stadion => 'Parijs St. Denis (Stade de France)'; rood_b  => ['Lehmann'; 18]; trainer_a => 'Frank Rijkaard'; assistent_trainer_a => 'Henk ten Cate'; opstelling_a => ['V&iacute;ctor Vald&eacute;s'; ['Oleguer'; 'Belletti'; 71];'M&aacute;rquez'; 'Puyol'; 'v. Bronckhorst'; 'Deco'; ['Edm&iacute;lson'; 'Iniesta';46];['v. Bommel'; 'Larsson'; 61]; 'Giuly'; "Eto'o"; 'Ronaldinho']; trainer_b => 'Wenger'; opstelling_b => ['Lehmann'; 'Ebou&eacute;'; 'K. Tour&eacute;'; 'Campbell'; 'A. Cole';['Pires'; 'Almunia'; 20]; 'Silva'; 'Ljungberg'; ['Fabregas'; 'Flamini'; 75];['Hleb'; 'Reyes'; 85]; 'Henry'];}
UEFAcup,round1,NLfyn,ROrpb,20050915,1-1,-1,,
UEFAcup,round1,ROrpb,NLfyn,20050929,1-0,2,,
UEFAcup,round1,CZbos,NLhrv,20050915,2-0,-1,,
UEFAcup,round1,NLhrv,CZbos,20050929,5-0,2,,
UEFAcup,round1,RUkrs,NLaz1,20050915,5-3,-1,,
UEFAcup,round1,NLaz1,RUkrs,20050929,3-1,2,,
UEFAcup,round1,FRmnc,NLwl2,20050915,2-0,-1,,
UEFAcup,round1,NLwl2,FRmnc,20050929,1-3,1,,
UEFAcup,gD,UAdjn,NLaz1,20051020,1-2,,,
UEFAcup,gD,CHgrs,G1mdd,20051020,0-1,,,
UEFAcup,gD,BGllv,CHgrs,20051103,2-1,,,
UEFAcup,gD,G1mdd,UAdjn,20051103,3-0,,,
UEFAcup,gD,UAdjn,BGllv,20051124,0-2,,,
UEFAcup,gD,NLaz1,G1mdd,20051124,0-0,,,
UEFAcup,gD,CHgrs,UAdjn,20051130,2-3,,,
UEFAcup,gD,BGllv,NLaz1,20051130,0-2,,,
UEFAcup,gD,G1mdd,BGllv,20051215,2-0,,,
UEFAcup,gD,NLaz1,CHgrs,20051215,1-0,,,
UEFAcup,gF,RUcmk,FRomr,20051020,1-2,,,
UEFAcup,gF,ROdnb,NLhrv,20051020,0-0,,,
UEFAcup,gF,BGlsf,ROdnb,20051103,1-0,,,
UEFAcup,gF,NLhrv,RUcmk,20051103,0-0,,,
UEFAcup,gF,RUcmk,BGlsf,20051124,2-1,,,
UEFAcup,gF,FRomr,NLhrv,20051124,1-0,,,
UEFAcup,gF,ROdnb,RUcmk,20051201,1-0,,,
UEFAcup,gF,BGlsf,FRomr,20051201,1-0,,,
UEFAcup,gF,NLhrv,BGlsf,20051214,2-1,,,
UEFAcup,gF,FRomr,ROdnb,20051214,2-1,,,
UEFAcup,round3,NLhrv,ROstb,20060215,1-3,-1,,
UEFAcup,round3,ROstb,NLhrv,20060223,0-1,2,,
UEFAcup,round3,ESbsv,NLaz1,20060215,2-0,-1,,
UEFAcup,round3,NLaz1,ESbsv,20060223,2-1,3,,
UEFAcup,4f,BGlsf,DEs04,20060330,1-3,-1,,
UEFAcup,4f,DEs04,BGlsf,20060406,1-1,2,,
UEFAcup,4f,ESsvl,RUzsp,20060330,4-1,-1,,
UEFAcup,4f,RUzsp,ESsvl,20060406,1-1,1,,
UEFAcup,4f,ROrpb,ROstb,20060330,1-1,-1,,
UEFAcup,4f,ROstb,ROrpb,20060406,0-0,2,,
UEFAcup,4f,CHbsl,G1mdd,20060330,2-0,-1,,
UEFAcup,4f,G1mdd,CHbsl,20060406,4-1,2,,
UEFAcup,2f,DEs04,ESsvl,20060420,0-0,-1,,
UEFAcup,2f,ESsvl,DEs04,20060427,1-0,4,,
UEFAcup,2f,ROstb,G1mdd,20060420,1-0,-1,,
UEFAcup,2f,G1mdd,ROstb,20060427,4-2,2,,
UEFAcup,f,ESsvl,G1mdd,20060510,4-0,1,Eindhoven,
