1956-1957:
title, Topscorers Eredivisie
 1, elhamdaoui, az1, 23
 2, suarez, ajx, 22
 3, berg, grn, 17
 4, nkufo, twn, 16
 4, makaay, fyn, 16
 4, pranjic, hrv, 16
 7, demouge, wl2, 14
 8, afellay, psv, 13
2009-2010:
title, Topscorers Eredivisie
 1, suarez, ajx, 35
 2, ruiz, twn, 24
 3, junker, rdj, 21
 4, elhamdaoui, az1, 20
 5, pantelic, ajx, 16
 6, dost, hrc, 14
 6, everton, hrc, 14
 6, dzsudzsak, psv, 14
 9, matavz, grn, 13
 9, toivonen, psv, 13
2010-2011:
title, Topscorers Eredivisie
 1, vleminx, nec, 23
 2, boelykin, adh, 21
 3, junker, rdj, 20
 4, matavz, grn, 16
 4, dzsudzsak, psv, 16
 6, sigthorsson, az1, 15
 6, vwolfswinkel, utr, 15
 6, castaignos, fyn, 15
 6, everton, hrc, 15
 6, toivonen, psv, 15
2011-2012:
title, Topscorers Eredivisie
 1, dost, hrv, 32
 2, ldejong, twn, 25
 2, malki, rdj, 25
 4, mertens, psv, 21
 5, guidetti, fyn, 20
 6, toivonen, psv, 18
 7, altidore, az1, 15
 8, matavz, psv, 14
 9, sdejong, ajx, 13
2012-2013:
title, Topscorers Eredivisie
 1, bony, vit, 31
 2, pelle, fyn, 27
 3, finnbogason, hrv, 24
 4, altidore, az1, 23
 5, malki, rdj, 17
 6, mertens, psv, 16
 7, lens, psv, 15
 8, mulenga, utr, 14
 8, wijnaldum, psv, 14
10, castaignos, twn, 13
2013-2014:
title, Topscorers Eredivisie
 1, finnbogason, hrv, 29
 2, pelle, fyn, 23
 3, johannsson, az1, 17
 4, tadic, twn, 16
 5, castaignos, twn, 14
 5, higdon, nec, 14
 7, locadia, psv, 13
 8, toornstra, utr, 12
 8, immers, fyn, 12
 8, depay, psv, 12
2014-2015:
title, Topscorers Eredivisie
 1, depay, psv, 22
 2, ldejong, psv, 20
 3, kramer, adh, 17
 3, deleeuw, grn, 17
 5, chery, grn, 15
 5, uth, hrv, 15
 7, tighadouini, nac, 14
 7, wijnaldum, psv, 14
 9, van Weert, exc, 13
 9, Ogbeche, cmb, 13
 9, ziyech, twn, 13
 9, traore, vit, 13
2015-2016:
title, Topscorers Eredivisie
 1, vjanssen, az1, 27
 2, ldejong, psv, 26
 3, milik, ajx, 21
 4, kuyt, fyn, 19
 5, ziyech, twn, 17
 5, haller, utr, 17
 7, havenaar, adh, 16
 7, santos, nec, 16
 9, kramer, fyn, 14
 9, veldwijk, pzw, 14
2016-2017:
title, Topscorers Eredivisie
 1, jorgensen, fyn, 21
 2, vwolfswinkel, vit, 20
 3, Armenteros, hrc, 19
 3, Ghoochannejhad, hrv, 19
 5, &Uuml;nal, twn, 18
 6, Mahi, grn, 17
 7, Dolberg, ajx, 16
 8, Klaassen, ajx, 14
 8, toornstra, fyn, 14
10, weghorst, az1, 13
11, haller, utr, 13
2017-2018:
title, Topscorers Eredivisie
 1, Alireza Jahanbakhsh, az1, 21
 2, Bj&oslash;rn Johnsen, adh, 19
 3, weghorst, az1, 18
 3, Steven Berghuis, fyn, 18
 5, lozano, psv, 17
 6, Fran Sol, wl2, 16
 7, Bryan Linssen, vit, 15
 8, David Neres, ajx, 14
 8, Marco van Ginkel, psv, 14
 8, matavz, vit, 14
11, huntelaar, ajx, 13
2018-2019:
title, Topscorers Eredivisie
 1, tadic, ajx, 28
 1, ldejong, psv, 28
 3, Dalmau, hrc, 19
 4, El Khayati, adh, 17
 4, lozano, psv, 17
 6, huntelaar, ajx, 16
 6, ziyech, ajx, 16
 6, vpersie, fyn, 16
 6, Lammers, hrv, 16
 6, Vlap, hrv, 16
11, Mlapa, vvv, 15
12, Bergwijn, psv, 14
2019-2020:
title, Topscorers Eredivisie
 1, Steven Berghuis, fyn, 15
 1, Cyriel Dessers, hrc, 15
