#<empty header>
hrv,exc,20180224,0,1,18920
vvv,vit,20180224,2,2, 6168
ajx,adh,20180225,0,0,52822
fyn,psv,20180225,1,3,47500
wl2,rdj,20180225,1,0,13277
utr,twn,20180225,3,1,17755
rdj,hrc,20180302,0,3,12946
psv,utr,20180303,3,0,33800
exc,az1,20180303,1,2, 4218
nac,fyn,20180303,2,1,18963
hrv,wl2,20180303,2,0,17300
pzw,vvv,20180304,1,1,12985
vit,ajx,20180304,3,2,19876
spr,adh,20180304,2,1,10482
twn,grn,20180304,1,1,23900
hrc,twn,20180309,2,1,12080
adh,nac,20180310,0,2,13620
wl2,psv,20180310,5,0,13660
vvv,exc,20180310,2,3, 6021
rdj,spr,20180310,0,2,12644
grn,pzw,20180311,2,0,17896
ajx,hrv,20180311,4,1,52523
utr,vit,20180311,5,1,19607
fyn,az1,20180311,2,1,45000
exc,adh,20180316,1,2, 4400
twn,wl2,20180317,2,2,29300
psv,vvv,20180317,3,0,33900
vit,hrc,20180317,0,0,16231
hrv,utr,20180317,2,2,18700
az1,grn,20180318,3,2,16459
spr,ajx,20180318,2,5,10606
nac,rdj,20180318,0,1,18412
pzw,fyn,20180318,3,4,13250
vit,rdj,20180331,0,3,16591
pzw,spr,20180331,2,0,13250
psv,nac,20180331,5,1,34300
adh,az1,20180331,0,3,13115
wl2,utr,20180331,3,2,13660
vvv,twn,20180401,0,0, 6623
grn,ajx,20180401,1,2,22568
hrc,hrv,20180401,1,2,10086
fyn,exc,20180401,5,0,45000
exc,wl2,20180406,2,1, 4400
nac,vit,20180407,1,0,18567
az1,psv,20180407,2,3,17002
rdj,pzw,20180407,3,2,14115
spr,vvv,20180407,3,2,10139
utr,adh,20180408,3,3,20145
twn,fyn,20180408,1,3,25600
hrv,grn,20180408,1,1,23150
ajx,hrc,20180408,1,0,52495
hrc,az1,20180413,0,3,10724
adh,twn,20180414,2,1,13876
vvv,hrv,20180414,0,2, 7054
vit,spr,20180414,7,0,16345
pzw,exc,20180414,1,1,13028
nac,wl2,20180415,1,2,18481
fyn,utr,20180415,3,1,47500
grn,rdj,20180415,2,1,20402
psv,ajx,20180415,3,0,35000
twn,pzw,20180417,2,0,24900
hrv,adh,20180417,2,0,18730
rdj,psv,20180418,2,2,15383
az1,vit,20180418,4,3,16067
exc,hrc,20180418,2,2, 4065
wl2,fyn,20180418,1,5,13320
spr,nac,20180418,2,1,10606
utr,grn,20180419,1,1,19540
ajx,vvv,20180419,4,1,30000
ajx,az1,20180429,3,0,45000
fyn,spr,20180429,3,1,45000
vit,twn,20180429,5,0,17939
vvv,rdj,20180429,1,4, 7255
nac,hrv,20180429,3,0,18456
pzw,wl2,20180429,0,1,13055
adh,psv,20180429,3,3,14031
hrc,utr,20180429,2,2,11187
grn,exc,20180429,4,0,18847
hrv,fyn,20180506,2,3,24640
az1,pzw,20180506,6,0,16532
rdj,adh,20180506,2,3,13794
spr,hrc,20180506,2,5, 8846
twn,nac,20180506,1,1,25600
psv,grn,20180506,0,0,33700
exc,ajx,20180506,1,2, 4400
utr,vvv,20180506,1,0,19669
wl2,vit,20180506,2,2,11600
